"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",112.947845,130.718515,161.182588,174.649917,191.628095,193.381435,199.298499,213.622115,220.981626,245.689118,261.306065,298.36749,325.56487,327.81632155,338.69970205,350.43340005,412.17055505,462.85547505,464.92458005,514.93352605,518.24446905,524.86355405,530.67409405,551.55100005,645.65332655,649.58512655,663.66012655,668.71379655,720.79894655,731.94649505,760.92192505
"2",89.09905,116.47413,136.245095,146.13315,161.207129,166.42555,179.659836,215.09604,228.116338,239.102842,257.46796,306.99016,327.762463,341.286923,363.817218,369.922037,441.718273,468.508296,470.590298,505.194485,509.38648,518.845834,530.726028,568.479388,644.515123,649.355059,663.031894,666.632408,703.019123,724.641343,761.375343
"3",79.61363,105.81016,131.253547,139.65328,144.704129,147.656915,153.212876,187.05733,203.433845,221.833035,233.877805,305.2921775,323.1132875,343.1496225,355.7514375,374.1226755,431.4295705,468.958108,469.8492564,508.504431,515.447866,531.792014,543.801256,572.344921,660.632961,667.178321,684.598789,688.567596,750.901821,770.669706,794.581246
"4",95.25604,120.89526,132.17805,140.972315,150.023705,156.271009,159.510189,180.326365,195.837895,215.884275,232.40881,306.2189315,315.8676665,323.725334,343.212197,357.378369,410.625224,447.6931694,450.492651,500.391907,508.285367,530.284297,546.899527,569.624452,668.114022,671.252418,673.597516,675.929841,734.4102075,749.3077175,770.6661575
"5",94.1704,119.35357,134.76046,156.111662,164.343085,169.324185,175.972262,195.04982,206.287268,213.214405,229.45473,300.738855,317.33438,326.583725,341.248326,348.4188951,395.5462675,454.0224575,456.3507605,501.3382825,507.4765525,523.8842805,539.4004575,571.3494075,691.1065475,693.1778687,697.3283665,699.7278205,750.881911,769.962896,788.893102
"6",102.05601,118.571104,136.371135,166.223281,180.97305,186.69952,197.69867,213.91125,219.702776,230.45897,251.948685,300.6822145,321.536022,327.694737,347.52288,354.68291,410.112305,475.249783,479.876209,512.999883,518.183803,528.139677,540.278778,572.982518,651.07856,654.111098,663.47593,667.371734,709.612095,734.18326,759.852493
"7",115.59807,136.274115,157.929605,184.785705,197.732824,201.11941,212.55733,224.86701,230.145342,233.404443,248.82544,321.059215,341.7072855,361.4258905,381.6143705,385.761665,430.933911,474.124668,477.411744,513.925628,521.048179,529.863575,536.016334,572.333133,635.1133875,639.2548015,650.9448275,653.8015375,714.7234565,727.2367835,746.250455
"8",149.7117585,164.6893985,181.8511795,188.8889401,217.525768,223.498765,229.350583,239.617083,244.7268,251.105049,259.081626,309.483046,333.056851,349.061561,379.928751,389.426771,425.83949,464.833763,468.710393,520.888698,527.904248,540.370982,548.289543,577.835063,638.529984,639.665152,649.451915,652.109944,702.371558,709.7347895,741.2058079
"9",149.150605,167.430775,194.181595,201.917889,216.8957412,217.5312465,221.8696755,230.6545455,234.7768505,238.5535765,247.0329405,294.4771205,312.8265205,330.4534005,337.6077105,344.1058935,377.1831565,424.7205895,428.7454405,488.5385245,495.5683035,528.5659495,539.6839145,571.7321395,653.1602545,656.5315095,669.1242515,669.8323865,726.4638595,747.5269695,804.2913587
"10",150.238471,163.910804,191.645822,199.212309,206.64489,210.352685,216.134584,229.92845,237.779475,251.845415,258.897621,293.7221795,321.0476745,328.7179645,341.3541095,353.3441695,393.9792145,448.8666795,450.8948315,497.2696275,509.9286875,523.0308355,534.6440115,572.1132325,646.1469325,647.7407095,659.8770245,667.4563805,715.6282345,749.3823245,780.0360925
