depth,coarse
0,0.528107462
1,0.56493152
2,0.590006313
3,0.673775597
4,0.80608249
5,2.501557483
6,0.816883864
7,0.530968889
8,0.396790406
9,0.684988261
10,0.771621195
11,0.898050206
12,0.697126235
13,1.068665377
14,0.51912168
15,0.541236359
16,0.54755441
17,0.504668796
18,0.506416927
19,0.543139293
20,0.741882396
21,3.139336152
22,1.630227604
23,0.795454545
24,3.009150327
25,1.44559601
26,0.565348409
27,0.512226026
28,0.711642471
29,0.337450071
30,0.222614841
31,0.189448672
32,0.233555157
33,0.412714899
34,0.450761787
35,0.401373119
36,0.586634714
37,1.034285119
38,1.830791864
39,2.772656884
40,2.136222127
41,2.575617488
42,3.205844035
43,3.201855161
44,3.409551062
45,3.568151697
46,4.059812703
47,2.723549488
48,2.360205149
49,2.512035011
50,2.058699062
51,2.388217486
52,1.815894658
53,1.051373955
54,1.097100981
55,0.71984614
56,0.683035625
57,0.54961408
58,0.700424375
59,0.945554369
60,1.759026105
61,2.132149901
62,2.252873563
63,2.909190349
64,2.38422663
65,1.931929963
66,2.246418592
67,3.728126256
68,3.415941058
69,2.884509926
70,4.1690406
71,2.649106873
72,2.639011275
73,3.759509838
74,5.078181818
75,3.215665859
76,3.717657248
77,3.46651106
78,1.129867895
79,1.204842319
80,1.223799735
81,1.533696606
82,1.386160227
83,1.686765981
84,1.476887499
85,2.447030109
86,2.745459705
87,2.372044298
88,2.019443566
89,2.049361648
90,2.654987044
91,2.442885772
92,2.988079576
93,3.565896809
94,3.481320656
95,3.580305578
96,4.198058534
97,2.886501236
98,3.342175066
99,4.34270116
100,4.027480001
101,4.065248618
102,3.754879484
103,3.871956347
104,3.023299288
105,3.257318659
106,4.189117531
107,4.915984348
108,4.375850462
109,6.435745452
110,8.885734047
111,9.904050601
112,11.91776231
113,17.22725992
114,9.293765116
115,0.692041522
116,7.134003581
117,1.110081432
118,0.203560073
119,0.37118128
120,1.401651947
121,2.662368477
122,3.235619988
123,3.99377781
124,0.489361286
125,0.337132491
126,0.257251981
127,0.882524639
128,1.672789967
129,0.748310455
130,0.702705185
131,4.609679468
132,4.939844303
133,4.602408802
134,2.660492699
135,0.499564333
136,0.723112128
137,0.611229566
138,0.801547389
139,1.572807899
140,0.761921254
141,0.799041898
142,0.639700056
143,2.630540812
144,1.155582192
145,1.200640342
146,1.815827804
147,4.01865234
148,9.632985816
149,4.646123032
150,0.890223823
151,1.143765806
152,0.761746362
153,1.012567038
154,0.652320224
155,0.540853776
156,2.287949623
157,2.603113702
158,2.01474895
159,4.098303428
160,6.382100538
161,7.409966165
162,7.907129784
163,6.291925968
164,7.308182978
165,11.19182798
166,11.48153117
167,12.11507147
168,9.899428121
169,2.035528129
170,0.442698913
171,0.471689178
172,0.594213917
173,0.61555152
174,3.791989528
175,8.857640995
176,9.912517689
177,0.91145628
178,0.382380393
179,2.015263534
180,3.389531998
181,6.65750263
182,8.696204946
183,9.354848906
184,8.561023011
185,16.07201309
186,12.29898799
187,9.436520773
188,11.11904464
189,9.802004834
190,8.930431653
191,4.260701444
192,4.451133383
193,3.360893588
194,5.20709287
195,7.644924615
196,7.667568858
197,8.483707646
198,3.486649128
199,4.122810425
200,3.157740851
201,1.681580074
202,2.03683376
203,1.460029544
204,0.556010978
205,1.242974492
206,5.671261069
207,4.093900001
208,4.721726051
209,4.052850626
210,5.12200136
211,5.608800588
212,0.778244924
213,1.049584371
214,0.780486382
215,0.820981801
216,0.454715336
217,0.828547706
218,1.476081821
219,3.565963202
220,5.783613328
221,7.780250911
222,12.72280972
223,14.17016741
224,11.2458194
225,9.306184284
226,13.84796612
227,7.60963195
228,1.258921697
229,1.237570125
230,0.679270623
231,1.6906958
232,0.81772772
233,1.14239307
234,1.119021507
235,1.613873133
236,1.613683771
237,2.097817625
238,1.575195202
239,1.073150078
240,1.130634072
241,1.232354918
242,1.618997019
243,3.753640655
244,2.047496344
245,1.222614738
246,1.036391637
247,1.164005146
248,1.713744532
249,1.014966732
250,1.779610041
251,1.689761588
252,1.293091665
253,1.20551248
254,4.477783526
255,3.357108735
256,1.381491089
257,1.339656413
258,3.032527756
259,1.361612988
260,3.947487688
261,5.559154017
262,5.151087897
263,5.535942312
264,6.014692378
265,6.072215016
266,8.757085812
267,6.756776004
268,10.63411986
269,8.195378431
270,2.582449373
271,1.192723528
272,1.373478301
273,1.711135053
274,1.764097352
275,1.094095841
276,1.197831893
277,0.991899888
278,3.30678904
279,3.565779164
280,1.201602136
281,1.135636057
282,2.213556234
283,2.488815244
284,2.111972007
285,3.565513882
286,9.05061317
287,4.481787199
288,1.346837481
289,1.204256035
290,1.35281208
291,2.179428702
292,2.853787623
293,1.544485106
294,3.865929934
295,4.726143814
296,3.138068084
297,3.700946823
298,2.711750409
299,2.959465301
300,6.503759398
301,8.066216132
302,8.59544647
303,7.816476659
304,3.956159887
305,2.205427458
306,2.833589634
307,0.51894136
308,0.984130889
309,1.192501445
310,0.593272514
311,0.870963662
312,0.494922638
313,0.349133631
314,0.301940764
315,0.383843671
316,0.442973049
317,1.601679523
318,10.09372867
319,15.01164252
320,1.187553239
321,1.274153434
322,1.070503963
323,1.459250607
324,1.648772323
325,2.043806534
326,1.404744727
327,2.382282179
328,13.9293258
329,4.662981602
330,3.229941446
331,0.86433548
332,0.986126003
333,0.923644433
334,0.780001184
335,1.186628799
336,1.036276523
337,1.024335639
338,1.013704331
339,1.029593627
340,1.021556104
341,0.960617668
342,0.936115478
343,0.563900557
344,0.785247069
345,0.871394231
346,0.47528365
347,0.997080548
348,1.451650216
349,0.869281503
350,2.166811244
351,3.277319025
352,4.173444883
353,2.543236542
354,1.537719933
355,0.813312328
356,0.894500009
357,0.711268795
358,0.206362634
359,0.414991441
360,0.96333329
361,1.288322532
362,1.314480288
363,1.341881229
364,1.454479176
365,0.955918643
366,1.219591139
367,0.798964863
368,0.731853981
369,0.925391683
370,2.792388119
371,1.475372525
372,1.5450452
373,1.951779564
374,2.671163125
375,2.8037514
376,6.679918082
377,6.3757495
378,3.968046299
379,1.353217859
380,1.124791705
381,1.107903448
382,1.214869921
383,3.619926835
384,1.576223569
385,1.573841742
386,0.999053266
387,1.201005842
388,1.250437923
389,0.873437232
390,1.00257111
391,0.729006028
392,0.943126153
393,0.921919723
394,1.547516101
395,0.930736573
396,0.847860162
397,0.412831934
398,0.666794283
399,1.078148839
400,1.546453308
401,1.595436459
402,1.591993886
403,1.495014628
404,2.336381109
405,3.133782029
406,2.596711167
407,2.314180285
408,1.954711088
409,2.388056195
410,2.785781738
411,2.604144444
412,2.71219768
413,2.395753987
414,2.608193248
415,2.401193657
416,2.549500192
417,2.580998782
418,2.706043497
419,4.100482532
420,4.80311863
421,26.79714243
422,2.261526317
423,1.786958339
424,5.16366353
425,6.157182118
426,1.307732546
427,0.571428571
428,1.498742222
429,0.639846684
430,2.595617081
431,1.920675797
432,3.476503284
433,1.466479188
434,0.752513785
435,0.843963485
436,1.400739249
437,2.553262969
438,1.321502595
439,3.447319045
440,1.24598571
441,0.809477921
442,1.088948333
443,0.955154626
444,2.509683667
445,4.908473639
446,5.435896385
447,5.897544794
448,4.592264104
449,4.052866107
450,5.823592173
451,5.033311304
452,5.708577137
453,1.068795967
454,2.739565238
455,2.773294726
456,0.737918519
457,1.045454996
458,1.141111461
459,0.762456214
460,0.842407849
461,1.017938497
462,1.164780275
463,0.904350455
464,0.377477194
465,0.313009654
466,0.332174664
467,1.878119002
468,3.454333075
469,0.529857105
470,2.172479304
471,1.606303326
472,1.505313409
473,4.616781997
474,4.329210986
475,0.858521601
476,1.299711574
477,1.023322517
478,0.960758948
479,1.731664463
480,5.574204833
481,4.066914328
482,1.315690053
483,1.143184859
484,1.18355499
485,1.085789881
486,0.786928806
487,0.85190235
488,4.501772794
489,5.291592129
490,4.236633854
491,5.204097505
492,0.79141135
493,2.039845147
494,1.7686696
495,2.601354872
496,4.64129149
497,3.658049484
498,6.323819268
499,7.472508253
500,8.870513958
501,1.581373336
502,0.653753795
503,0.767945713
504,0.352669657
505,0.462952379
506,0.520178104
507,0.77154042
508,1.126244833
509,0.594138394
510,0.340642529
511,0.975072212
512,2.480450336
513,3.626601586
514,1.331984255
515,1.278690493
516,0.821239648
517,0.677450352
518,0.429909412
519,0.629379994
520,0.25580878
521,1.387223619
522,0.586336386
523,0.738848225
524,0.599080378
525,0.495326059
526,2.817328423
527,4.343706548
528,3.227036623
529,1.188052728
530,2.518467691
531,1.835404929
532,0.950938075
533,0.726266644
534,1.525629322
535,2.292724303
536,1.954265499
537,2.106230222
538,0.524047749
539,0.571184044
540,0.632368703
541,0.509818345
542,0.721074587
543,1.701664986
544,2.29953084
545,3.190949389
546,3.420602789
547,2.506893958
548,2.827094112
549,2.066638549
550,1.221101851
551,1.362105555
552,1.5181845
553,1.492010587
554,1.803068356
555,1.257044541
556,0.509528851
557,1.244584024
558,1.374682257
559,1.233451304
560,1.317523057
561,1.799253821
562,3.301222838
563,1.244695198
564,0.551362683
565,1.061399152
566,2.148556439
567,2.437239722
568,0.405611388
569,0.574385323
570,0.357696597
571,2.948061637
572,2.522499135
573,0.58343639
574,0.754785449
575,2.070635267
576,1.116529953
577,1.136095183
578,0.83219871
579,1.353177628
580,1.041238526
581,0.677192315
582,1.222620278
583,0.803061458
584,0.475040061
585,0.449107111
586,0.506554271
587,0.585197146
588,0.734940502
589,0.699188728
590,0.925502891
591,1.469575537
592,0.904458882
593,1.30456136
594,1.597495384
595,1.478390627
596,1.327108983
597,1.622089133
598,1.548950171
599,1.288818163
600,2.101078326
601,11.32564315
602,21.77450501
603,1.525208126
604,2.853511891
605,8.983463702
606,9.935492364
607,20.89542441
608,21.3129791
609,14.40987438
610,5.313114778
611,3.94443135
612,2.476060342
613,1.370122565
614,1.431323113
615,0.810836938
616,0.784188402
617,0.386946515
618,0.492931108
619,5.833495184
620,2.030148427
621,1.913260554
622,4.241619553
623,7.875485061
624,7.536008639
625,8.381203503
626,4.521425547
627,2.305882353
628,1.219460558
629,0.835441704
630,1.052374557
631,1.772547136
632,1.116458892
633,0.818621166
634,2.11838127
635,2.453140258
636,5.077737154
637,5.338004166
638,5.4223681
639,4.887595736
640,3.292177082
641,2.402371703
642,3.116652733
643,4.073371284
644,2.730090754
645,3.394401868
646,3.279570964
647,2.629840641
648,1.359486767
649,1.202477833
650,2.380401362
651,1.963003128
652,2.364010666
653,2.274690087
654,3.089553965
655,3.621875689
656,1.512455516
657,0.783562048
658,0.892904457
659,1.328137075
660,1.212096807
661,0.848484848
662,1.241885408
663,0.595763814
664,1.480570414
665,0.621512258
666,0.881481709
667,4.694935937
668,1.164895019
669,0.635097493
670,1.365756163
671,0.686117884
672,0.737017288
673,0.534462414
674,0.255076013
675,1.617146616
676,2.583627265
677,1.069244477
678,1.426872771
679,1.200970242
680,1.085787721
681,5.215523572
682,4.341359115
683,1.600784574
684,1.965387027
685,5.789047862
686,4.04680239
687,5.644753019
688,4.454313312
689,3.847580579
690,2.459659346
691,2.91969509
692,1.732273215
693,4.322370945
694,4.598702391
695,1.394055401
696,0.922870627
697,1.189379572
698,2.027198117
699,3.140241615
700,1.260641296
701,1.093724935
702,2.257526218
703,1.617348419
704,1.04294667
705,0.508196721
706,0.372608573
707,2.316761481
708,0.612148642
709,2.011362295
710,1.394600665
711,8.832897281
712,7.784235464
713,5.276411568
714,2.691823019
715,1.72058217
716,0.826850411
717,4.05587515
718,5.308792936
719,2.69208411
