depth	min	max	median	mean
0	-66	-57	-63	-63
1	-64	-56	-61	-61
2	-63	-56	-60	-60
3	-62	-55	-58	-58
4	-62	-53	-57	-57
5	-61	-51	-55	-55
6	-60	-51	-54	-55
7	-59	-51	-54	-54
8	-59	-50	-53	-53
9	-58	-49	-52	-52
10	-57	-47	-51	-52
11	-57	-47	-51	-51
12	-56	-46	-50	-51
13	-56	-46	-50	-50
14	-56	-45	-50	-50
15	-55	-44	-49	-49
16	-55	-44	-49	-49
17	-54	-43	-48	-49
18	-54	-43	-48	-48
19	-54	-42	-48	-48
20	-53	-41	-47	-47
21	-53	-41	-47	-47
22	-52	-41	-46	-46
23	-52	-40	-46	-46
24	-52	-40	-46	-46
25	-51	-39	-45	-45
26	-51	-39	-45	-45
27	-50	-39	-44	-44
28	-50	-38	-44	-44
29	-50	-38	-44	-44
30	-49	-37	-43	-43
31	-49	-37	-43	-43
32	-48	-36	-42	-42
33	-48	-36	-42	-42
34	-48	-35	-42	-41
35	-47	-35	-41	-41
36	-47	-35	-41	-41
37	-46	-34	-40	-40
38	-46	-34	-40	-40
39	-46	-33	-39	-39
40	-45	-33	-39	-39
41	-44	-33	-38	-38
42	-44	-32	-38	-38
43	-43	-32	-37	-38
44	-43	-32	-37	-37
45	-43	-31	-37	-37
46	-42	-31	-36	-36
47	-41	-31	-36	-36
48	-41	-30	-35	-35
49	-41	-30	-35	-35
50	-40	-29	-35	-35
51	-39	-29	-34	-34
52	-39	-29	-34	-34
53	-39	-29	-33	-33
54	-38	-28	-33	-33
55	-38	-28	-33	-33
56	-37	-28	-32	-32
57	-37	-27	-32	-32
58	-36	-27	-31	-31
59	-36	-27	-31	-31
60	-35	-26	-31	-31
61	-34	-26	-30	-30
62	-33	-26	-30	-30
63	-32	-25	-29	-29
64	-31	-25	-29	-29
65	-31	-24	-28	-28
66	-30	-23	-27	-27
67	-30	-22	-26	-26
68	-29	-21	-25	-25
69	-29	-19	-24	-24
70	-29	-17	-23	-23
71	-27	-17	-22	-22
72	-25	-17	-21	-21
73	-24	-16	-20	-20
74	-23	-16	-19	-19
75	-22	-15	-18	-18
76	-21	-14	-17	-17
77	-20	-14	-16	-17
78	-19	-13	-16	-16
79	-19	-13	-15	-15
80	-18	-11	-15	-15
81	-18	-11	-14	-14
82	-17	-11	-14	-14
83	-17	-10	-13	-13
84	-16	-10	-13	-13
85	-16	-9	-13	-13
86	-16	-9	-12	-12
87	-15	-8	-12	-12
88	-15	-8	-11	-11
89	-14	-8	-11	-11
90	-14	-7	-11	-11
91	-13	-7	-10	-10
92	-12	-6	-10	-10
93	-11	-6	-9	-9
94	-11	-5	-9	-9
95	-11	-5	-8	-8
96	-9	-4	-7	-7
97	-8	-3	-6	-6
98	-7	-2	-5	-5
98.00002	-7	-2	-5	-5
99	-7	-2	-5	-5
99.00002	-7	-2	-5	-5
100	-6	-1	-4	-4
101	-6	1	-3	-3
102	-5	1	-3	-3
103	-4	2	-2	-2
104	-4	2	-2	-2
105	-4	3	-2	-1
106	-4	5	-1	-1
107	-3	5	-1	0
108	-3	6	-1	0
109	-3	6	-1	0
110	-3	7	0	1
111	-3	8	0	1
112	-2	9	0	1
113	-2	9	1	2
114	-2	10	1	2
115	-1	11	2	3
116	-1	12	2	3
117	-1	13	3	4
118	0	13	4	5
119	0	14	4	5
120	0	15	5	6
121	0	16	6	6
122	1	16	7	7
123	1	17	7	8
124	2	18	8	8
125	2	19	9	9
126	2	20	9	10
127	3	20	10	10
128	3	21	11	11
129	4	22	11	12
130	4	22	12	12
131	4	23	13	13
132	5	24	14	14
133	6	24	14	14
134	6	25	15	15
135	7	26	16	16
136	7	27	16	16
137	8	27	17	17
138	8	28	18	18
139	9	28	19	18
140	9	29	19	19
141	10	30	20	20
142	10	31	21	20
143	11	31	21	21
144	11	32	22	22
145	12	33	23	23
146	12	34	23	23
147	13	34	24	24
148	13	35	25	25
149	14	36	26	25
150	14	37	26	26
151	14	37	27	27
152	15	38	28	27
153	16	38	28	28
154	16	39	29	28
155	16	40	29	29
156	17	41	30	29
157	18	41	30	30
158	18	42	31	31
159	19	42	32	31
160	19	43	32	32
161	19	44	33	32
162	20	44	33	33
163	21	45	34	33
164	21	45	34	34
165	22	46	35	35
166	22	47	35	35
167	23	47	36	36
168	23	48	36	36
169	24	48	37	37
170	24	49	37	37
171	25	50	38	38
172	25	50	38	38
173	26	51	39	39
174	27	52	40	40
175	27	52	40	40
176	28	53	41	41
177	29	53	41	41
178	29	54	42	42
179	30	54	42	42
180	30	55	43	43
181	30	56	43	43
182	31	56	44	44
183	32	57	45	45
184	33	57	45	45
185	33	58	46	46
186	34	59	46	46
187	34	59	47	47
188	35	60	47	47
189	35	60	48	48
190	36	61	48	48
191	36	62	49	49
192	37	62	49	49
193	37	63	50	50
194	38	63	50	51
195	38	64	51	51
196	39	65	52	52
197	40	65	52	52
198	40	66	53	53
199	41	66	53	53
200	41	67	54	54
201	42	68	54	54
202	42	68	55	55
203	43	69	56	56
204	43	69	56	56
205	44	70	57	57
206	44	70	57	57
207	45	71	58	58
208	46	71	58	58
209	46	72	59	59
210	46	73	59	59
211	47	73	60	60
212	47	74	61	61
213	48	74	61	61
214	48	74	62	62
215	49	75	62	62
216	49	76	63	63
217	50	76	63	63
218	51	77	64	64
219	51	77	65	64
220	52	78	65	65
221	52	79	66	65
222	53	79	66	66
223	54	79	67	66
224	54	80	67	67
225	54	81	68	68
226	55	81	68	68
227	55	82	69	69
228	56	82	70	69
229	57	83	70	70
230	57	83	71	70
231	58	84	71	71
232	58	84	72	71
233	59	85	72	72
234	59	85	73	72
235	60	86	73	73
236	60	86	74	73
237	61	87	74	74
238	61	87	75	74
239	62	88	75	75
240	62	88	76	75
241	62	89	76	76
242	63	89	77	76
243	63	90	77	77
244	64	90	78	77
245	64	91	78	78
246	64	91	78	78
247	65	92	79	79
248	66	92	79	79
249	66	92	80	80
250	66	93	81	80
251	67	93	81	81
252	67	94	82	81
253	68	94	82	82
254	68	95	82	82
255	69	96	83	83
256	69	96	84	83
257	70	97	84	84
258	70	97	85	84
259	71	98	85	85
260	71	98	85	85
261	71	99	86	86
262	72	99	86	86
263	73	99	87	87
264	73	100	87	87
265	74	100	88	88
266	74	101	88	88
267	74	101	89	89
268	75	102	89	89
269	76	102	90	90
270	76	103	90	90
271	76	103	91	91
272	77	104	91	91
273	77	104	92	92
274	78	105	92	92
275	78	105	93	92
276	79	106	93	93
277	79	106	94	93
278	80	106	94	94
279	80	107	95	94
280	81	107	95	95
281	81	108	96	95
281.00002	81	108	96	95
282	81	108	96	95
283	81	108	96	95
284	81	108	96	95
285	81	108	96	95
286	81	108	96	95
287	81	108	96	95
287.00002	81	108	96	95
288	82	109	96	96
289	82	109	97	96
290	83	109	97	97
290.00002	83	109	97	97
291	83	109	97	97
291.00002	83	109	97	97
292	83	110	98	97
293	84	110	98	98
294	84	111	99	98
295	85	111	99	99
296	85	111	100	99
297	86	112	101	100
298	86	112	101	100
299	86	113	102	101
300	87	113	102	101
301	87	114	103	102
302	88	114	103	102
303	88	115	104	103
304	89	115	104	103
305	90	115	105	104
306	90	116	105	104
306.00002	90	116	105	104
307	90	116	105	104
308	90	116	105	104
309	90	116	105	104
310	90	116	105	104
311	90	116	105	104
311.00002	90	116	105	104
312	91	116	106	105
313	91	117	106	105
314	92	117	107	106
315	92	118	107	106
316	93	118	108	107
317	93	119	108	107
318	94	119	109	108
319	94	120	109	108
320	95	120	110	109
321	95	121	110	109
322	95	122	111	110
323	96	123	111	110
324	97	123	112	111
325	97	124	112	112
326	98	124	113	112
327	98	125	113	113
328	98	126	114	113
329	99	126	114	114
330	99	126	115	114
331	100	127	115	115
332	100	127	116	115
333	101	128	116	116
334	102	128	117	116
335	102	129	118	117
336	103	129	118	117
337	103	130	119	118
338	104	131	119	118
339	104	131	120	119
340	105	131	120	120
341	105	132	121	120
342	106	132	121	121
343	106	133	122	121
344	107	134	123	122
345	108	134	123	122
346	108	135	124	123
347	109	135	124	123
348	109	136	125	124
349	110	136	125	124
350	110	137	126	125
351	111	137	126	125
352	112	137	127	126
353	112	138	127	126
354	113	138	128	127
355	113	139	128	128
356	114	139	129	128
357	114	140	130	129
358	115	140	130	129
359	115	140	131	130
360	116	141	131	130
361	116	141	132	131
362	117	142	132	131
362.00002	117	142	132	131
363	117	142	132	131
363.00002	117	142	132	131
364	117	142	133	132
365	118	142	133	132
366	118	143	134	133
367	119	144	134	133
368	119	144	135	134
369	120	145	135	134
370	121	145	136	135
371	121	146	136	136
372	122	146	137	136
373	123	147	137	137
374	123	148	138	137
375	124	148	138	138
376	125	149	139	138
377	125	149	139	139
378	126	150	140	139
379	126	151	140	140
380	127	151	141	141
381	128	151	142	141
382	129	152	142	142
383	129	153	143	142
384	130	153	143	143
385	131	154	144	143
386	132	154	144	144
387	132	155	145	145
388	133	155	145	145
389	133	156	146	146
390	134	156	146	146
391	135	157	147	147
392	136	157	147	147
393	136	158	148	148
394	137	158	149	148
395	137	159	149	149
396	138	159	150	149
397	139	160	150	150
398	140	160	151	151
399	141	161	151	151
400	142	161	152	152
401	142	162	152	152
402	143	162	153	153
403	144	163	153	153
404	144	163	154	154
405	145	164	154	154
406	146	164	155	155
407	147	164	155	156
408	148	165	156	156
409	148	166	157	157
410	149	166	157	157
411	150	166	158	158
412	151	167	158	158
413	152	167	159	159
414	152	168	159	159
415	153	168	160	160
416	154	169	160	160
416.00002	154	169	160	160
417	154	169	160	160
418	154	169	160	160
419	154	169	160	160
420	154	169	160	160
421	154	169	160	160
422	154	169	160	160
422.00002	154	169	160	160
423	155	169	161	161
424	155	170	161	161
425	155	171	162	162
426	156	171	162	163
427	156	172	163	163
428	157	173	163	164
429	157	174	164	164
430	157	175	164	165
431	158	175	164	165
432	158	176	165	166
433	159	177	165	166
434	159	177	166	167
435	160	179	166	167
436	160	179	167	168
437	161	179	167	168
438	161	180	168	169
439	162	181	168	169
440	162	182	168	170
441	163	182	169	170
442	163	183	169	171
443	164	183	170	171
444	164	184	170	172
445	164	185	171	172
446	165	185	171	173
447	165	186	172	174
448	166	187	173	174
449	166	188	173	175
450	166	189	174	175
451	167	189	175	176
452	168	190	175	177
453	168	191	176	177
454	168	192	177	178
455	169	193	177	179
456	169	193	178	179
457	169	194	179	180
458	170	194	179	180
459	170	195	180	181
460	171	196	181	182
461	171	197	181	182
462	172	197	182	183
463	172	198	183	183
464	173	199	183	184
465	173	200	184	185
466	174	200	185	185
467	174	201	185	186
468	175	201	186	187
469	175	202	187	187
470	176	203	187	188
471	176	204	188	188
472	177	204	188	189
473	177	205	189	190
474	178	206	190	190
475	178	206	190	191
476	179	207	191	191
477	180	208	192	192
478	180	208	192	193
479	181	209	193	193
480	181	210	194	194
481	182	210	194	195
482	182	211	195	195
483	183	211	195	196
484	183	212	196	196
485	184	213	197	197
486	185	214	197	198
487	185	214	198	198
488	186	215	198	199
489	186	215	199	199
490	187	216	200	200
491	187	216	200	201
492	188	217	201	201
493	188	218	202	202
494	189	218	202	203
495	189	219	203	203
496	190	220	203	204
497	191	220	204	204
498	191	221	205	205
499	192	222	205	206
500	192	222	206	206
501	193	223	206	207
502	194	224	207	207
503	194	225	208	208
504	195	225	208	209
505	195	226	209	209
506	196	227	210	210
507	197	227	210	210
508	198	228	211	211
509	198	228	212	212
510	199	229	212	212
511	199	229	213	213
512	200	230	213	214
513	201	230	214	214
514	202	231	215	215
515	202	232	215	215
516	203	233	216	216
517	204	233	217	217
518	204	234	218	218
519	205	235	219	219
520	205	237	219	220
521	206	237	220	220
522	207	238	221	221
523	208	239	222	222
524	208	239	223	223
525	208	241	223	223
526	209	241	224	224
527	210	242	225	225
528	211	242	226	226
529	211	243	227	227
530	212	245	228	228
531	213	246	228	229
532	214	246	229	229
533	214	247	230	230
534	215	248	231	231
535	215	249	232	232
536	216	250	233	233
537	217	250	233	233
538	218	251	234	234
539	218	252	235	235
540	219	253	236	236
541	220	253	237	237
542	221	254	237	238
543	222	255	238	238
544	222	256	239	239
545	223	257	240	240
546	224	257	241	241
547	224	258	242	242
