depth	min	max	median	mean
548	225	259	243	242
549	226	259	243	243
550	226	261	244	244
551	227	261	245	245
552	228	262	246	246
553	229	263	247	246
554	229	264	247	247
555	230	265	248	248
556	231	265	249	249
557	232	266	250	250
558	232	267	251	250
559	233	267	252	251
560	233	268	252	252
561	234	269	253	253
562	235	269	254	254
563	236	270	255	254
564	236	271	256	255
565	237	272	257	256
566	238	272	258	257
567	239	273	258	258
568	239	273	259	258
569	240	274	260	259
570	241	275	261	260
571	242	276	262	261
572	242	277	263	262
573	243	278	263	262
574	243	279	264	263
575	244	280	265	264
576	245	280	266	265
577	245	281	266	265
578	246	281	267	266
579	246	282	267	266
580	247	283	268	267
581	248	283	268	267
582	249	283	269	268
583	249	284	270	269
584	250	285	270	269
585	250	285	271	270
586	251	286	271	270
587	252	286	272	271
588	253	286	272	271
589	253	287	273	272
590	254	287	273	272
591	254	288	274	273
592	255	288	274	274
593	256	289	275	274
594	257	289	275	275
595	258	290	276	275
596	258	290	276	276
597	259	291	277	276
598	260	291	277	277
599	260	292	278	277
600	261	292	279	278
601	262	293	279	279
601.00002	262	293	279	279
602	262	293	279	279
603	262	293	279	279
604	262	293	279	279
605	262	293	279	279
605.00002	262	293	279	279
606	262	293	280	279
607	263	294	280	280
608	264	294	281	280
609	264	295	281	281
610	265	295	282	281
611	266	296	282	282
612	267	296	283	283
613	267	297	283	283
614	268	297	284	284
615	269	298	284	284
616	270	298	285	285
617	270	299	286	285
618	271	299	286	286
618.00002	271	299	286	286
619	271	299	286	286
620	271	299	286	286
620.00002	271	299	286	286
621	272	300	287	286
622	273	300	287	287
623	273	301	288	288
624	274	301	288	288
625	274	302	289	289
626	275	302	290	289
627	276	303	290	290
628	277	303	291	290
629	278	304	291	291
630	278	304	292	292
631	278	305	292	292
632	279	305	293	293
633	280	306	293	293
634	281	306	294	294
635	281	307	295	294
636	282	307	295	295
637	283	307	296	295
638	283	308	296	296
639	284	308	297	297
640	285	309	297	297
641	286	309	298	298
642	286	310	298	298
643	287	311	299	299
644	288	311	300	299
645	288	312	300	300
646	289	313	301	301
647	290	313	301	301
648	290	314	302	302
649	291	315	303	302
650	291	316	303	303
651	291	317	304	304
652	292	318	304	304
653	293	318	305	305
654	293	319	306	306
655	293	320	306	306
656	294	321	307	307
657	294	321	307	308
658	295	322	308	308
659	296	322	309	309
660	296	323	310	310
661	297	324	310	310
662	298	325	311	311
663	298	325	311	312
664	299	326	312	312
665	299	327	313	313
666	300	328	313	313
666.00002	300	328	313	313
667	300	328	313	313
668	300	328	313	313
669	300	328	313	313
670	300	328	313	313
671	300	328	313	313
672	300	328	313	313
673	300	328	313	313
674	300	328	313	313
675	300	328	313	313
676	300	328	313	313
676.00002	300	328	313	313
677	300	328	314	314
678	301	329	314	315
679	302	330	315	315
680	302	331	316	316
681	303	332	316	317
682	304	332	317	317
683	305	333	318	318
684	305	333	318	319
685	306	334	319	319
686	306	335	320	320
687	307	336	320	320
688	308	336	321	321
689	308	337	322	322
690	309	338	322	322
691	309	338	323	323
692	310	339	323	324
693	311	339	324	324
694	311	340	325	325
695	312	340	325	326
696	312	341	326	326
697	313	342	327	327
698	314	342	327	328
699	314	343	328	328
700	315	343	329	329
701	315	344	329	329
702	316	345	330	330
703	317	345	330	331
704	317	346	331	331
705	318	346	332	332
706	318	347	332	333
707	319	348	333	333
708	320	348	334	334
709	320	349	334	335
710	321	349	335	335
711	322	350	336	336
712	322	351	336	336
713	323	352	337	337
714	324	352	338	338
715	324	353	338	338
716	325	354	339	339
717	325	355	339	340
718	326	355	340	340
719	327	356	341	341
720	327	357	341	341
721	328	358	342	342
722	328	358	342	343
723	329	359	343	343
724	329	359	343	344
725	330	360	344	344
726	330	361	345	345
727	331	362	345	345
728	331	362	346	346
729	332	363	346	347
730	332	364	347	347
731	333	365	348	348
732	334	366	348	348
733	334	366	349	349
734	335	367	349	350
735	335	368	350	350
736	336	369	350	351
737	336	369	351	351
738	337	370	351	352
739	337	371	352	352
740	338	372	352	353
741	338	372	353	354
742	339	373	354	354
743	340	374	354	355
744	340	374	355	355
745	341	375	355	356
746	341	376	356	357
747	342	376	356	357
748	342	377	357	358
749	343	378	358	358
750	343	379	358	359
751	344	380	359	360
752	344	380	359	360
753	345	381	360	361
754	345	382	361	362
755	346	383	361	362
756	346	383	362	363
757	347	384	362	363
758	347	384	363	364
759	348	385	364	365
760	348	386	364	365
761	349	386	365	366
762	349	387	366	367
763	350	388	366	367
764	350	389	367	368
765	351	390	367	368
766	351	391	368	369
767	352	391	369	370
768	352	392	369	370
769	353	393	370	371
770	353	394	370	372
771	354	395	371	372
772	354	395	372	373
773	355	396	372	373
774	355	397	373	374
775	356	398	373	375
776	356	399	374	375
777	357	399	375	376
778	357	400	375	377
778.00002	357	400	375	377
779	357	400	375	377
780	357	400	375	377
781	357	400	375	377
782	357	400	375	377
783	357	400	375	377
784	357	400	375	377
785	357	400	375	377
786	357	400	375	377
786.00002	357	400	375	377
787	358	401	376	377
788	358	402	377	378
789	359	403	377	379
790	359	403	378	379
791	360	404	379	380
792	361	405	379	381
793	361	406	380	381
794	362	406	381	382
795	363	407	382	383
796	364	408	382	383
797	364	409	383	384
798	365	410	384	385
799	365	411	384	386
800	366	411	385	386
801	367	412	386	387
802	367	413	387	388
803	368	414	387	388
804	368	416	388	389
805	369	416	389	390
806	370	418	389	390
807	370	419	390	391
808	371	419	391	392
809	371	420	391	393
810	372	420	392	393
811	373	421	393	394
812	374	422	394	395
813	374	423	394	395
814	375	424	395	396
815	376	425	396	397
816	377	426	397	398
817	377	427	397	398
818	378	427	398	399
819	379	428	399	400
820	379	429	400	401
821	380	429	400	401
822	381	430	401	402
823	382	431	402	403
824	382	432	403	404
825	383	432	403	404
826	383	433	404	405
827	384	434	405	406
828	384	435	406	407
829	385	435	406	407
830	386	436	407	408
831	387	437	408	409
832	387	438	409	410
833	388	439	409	410
834	389	440	410	411
835	390	440	411	412
836	391	441	412	413
837	391	442	412	413
838	392	442	413	414
839	393	443	414	415
840	394	444	414	416
841	394	444	415	416
842	395	445	416	417
843	396	445	417	418
844	396	446	417	418
845	398	447	418	419
846	398	447	419	420
847	399	448	420	421
848	400	449	421	421
849	400	450	421	422
850	401	451	422	423
851	402	451	423	424
852	402	452	424	424
853	403	452	424	425
854	404	453	425	426
855	405	454	426	427
856	406	454	427	427
857	406	455	427	428
858	407	456	428	429
859	407	456	429	430
860	408	457	429	430
861	409	458	430	431
862	410	458	431	432
863	411	459	432	433
864	411	460	433	433
865	412	461	433	434
866	413	462	434	435
867	414	463	435	436
868	415	463	436	437
869	415	464	437	437
870	416	465	437	438
871	417	466	438	439
872	417	467	439	440
873	418	467	439	440
874	419	468	440	441
875	420	469	441	442
876	420	469	442	442
877	421	470	442	443
878	422	471	443	444
879	422	472	444	445
880	423	472	445	445
881	424	473	445	446
882	425	474	446	447
883	425	474	447	448
884	426	475	448	448
885	427	476	448	449
886	428	476	449	450
887	429	477	450	451
888	430	477	451	451
889	430	478	451	452
890	431	479	452	453
891	432	480	453	454
892	432	481	453	454
893	433	481	454	455
894	433	482	455	456
895	434	483	455	456
896	435	483	456	457
897	435	484	457	458
898	436	485	457	458
899	436	485	458	459
900	437	486	459	460
901	437	487	459	460
902	438	487	460	461
903	438	488	461	461
904	439	489	461	462
905	440	489	462	463
906	440	490	463	463
907	441	491	463	464
908	441	492	464	465
909	442	492	465	465
910	443	493	465	466
911	443	494	466	467
912	444	494	466	467
913	444	495	467	468
914	445	496	468	468
915	446	497	468	469
916	446	498	469	470
917	447	498	470	470
918	448	499	470	471
919	448	500	471	472
920	449	500	472	472
921	450	501	472	473
922	450	501	473	474
923	451	502	474	474
924	452	502	474	475
925	452	503	475	476
926	453	504	475	476
927	453	505	476	477
928	454	505	477	477
929	454	506	477	478
930	455	506	478	479
931	456	507	479	479
932	456	508	479	480
933	457	508	480	481
934	457	509	481	481
935	458	509	482	482
936	459	510	482	483
937	460	511	483	483
938	460	512	484	484
939	460	512	484	485
940	461	513	485	485
941	462	514	485	486
942	462	514	486	487
943	463	515	487	487
944	464	516	487	488
945	465	517	488	489
946	465	517	489	489
947	466	517	489	490
948	466	518	490	491
949	467	519	491	491
950	468	519	491	492
951	469	520	492	492
952	469	521	493	493
953	470	521	493	494
954	471	522	494	494
955	471	523	495	495
956	472	524	495	496
957	472	524	496	496
958	473	525	496	497
959	473	526	497	498
960	474	527	498	498
961	475	527	498	499
962	476	528	499	500
963	476	529	500	500
964	477	530	500	501
965	477	530	501	502
966	478	531	502	502
967	479	531	502	503
968	479	532	503	504
969	480	532	504	504
970	481	533	504	505
971	482	534	505	506
972	482	535	506	506
973	483	536	506	507
974	483	537	507	508
975	484	537	508	508
976	485	538	508	509
977	486	538	509	510
978	486	539	510	510
979	487	540	510	511
980	487	540	511	511
981	488	541	512	512
982	489	542	512	513
983	490	542	513	513
984	490	543	514	514
985	491	543	514	515
986	492	544	515	516
987	493	544	516	516
988	493	545	516	517
989	494	546	517	517
990	495	546	518	518
991	495	547	518	519
992	496	548	519	519
993	497	549	520	520
994	497	549	520	521
995	498	550	521	521
996	499	550	521	522
997	499	551	522	523
998	500	552	523	523
999	501	552	523	524
1000	502	553	524	525
1001	502	554	525	525
1002	503	554	525	526
1003	503	555	526	527
1003.00002	503	555	526	527
1004	503	555	526	527
1004.00002	503	555	526	527
1005	504	556	527	527
1006	505	556	527	528
1007	506	556	528	528
1008	506	557	528	529
1009	507	558	529	530
1010	508	558	530	530
1011	508	559	531	531
1012	509	560	531	532
1013	510	561	532	532
1014	511	561	533	533
1015	511	562	533	534
1016	512	563	534	534
1017	513	563	534	535
1018	514	564	535	536
1019	514	565	536	536
1020	515	566	536	537
1021	516	566	537	538
1022	517	567	538	538
1023	517	567	538	539
1024	518	568	539	540
1025	519	569	540	540
1026	519	569	540	541
1027	520	570	541	542
1028	520	570	542	542
1029	521	571	542	543
1030	521	572	543	544
1031	522	572	544	544
1032	523	573	544	545
1033	523	574	545	545
1034	524	575	545	546
1035	525	576	546	546
1036	526	576	546	547
1037	526	577	547	547
1038	527	578	547	548
1039	528	578	548	549
1040	528	579	548	549
1041	529	580	549	550
1042	529	580	549	550
1043	530	581	550	551
1044	530	582	550	551
1045	531	582	551	552
1046	531	583	551	552
1047	532	584	552	553
1048	533	585	552	553
1049	533	585	553	554
1050	533	586	553	554
1051	534	587	554	555
1052	534	587	554	555
1053	535	588	555	556
1054	536	588	555	556
1055	536	588	555	557
1056	537	589	556	557
1057	537	589	556	558
1058	538	590	557	558
1059	538	590	557	559
1060	539	591	557	559
1061	539	591	558	559
1062	540	592	558	560
1063	541	592	559	560
1064	541	592	559	561
1065	542	593	560	561
1066	542	594	560	562
1067	543	594	561	562
1068	543	595	561	563
1069	544	595	561	563
1070	544	596	562	564
1071	544	596	562	564
1072	545	597	563	565
1073	546	597	563	565
1074	546	598	564	566
1075	546	598	564	566
1076	547	599	564	566
1077	547	599	565	567
1078	548	600	565	567
1079	548	601	566	568
1080	549	601	566	568
1081	549	601	566	569
1082	550	602	567	569
1083	550	602	567	570
1084	551	603	568	570
1085	551	603	568	571
1086	552	604	569	571
1087	552	604	569	571
1088	553	605	569	572
1089	553	606	570	572
1090	553	606	570	573
1091	554	607	571	573
1092	554	607	571	574
1093	555	608	571	574
1094	555	608	572	575
1095	556	609	572	575
1096	556	610	573	576
1097	557	610	573	576
1098	557	611	574	577
1099	557	611	574	577
1100	558	612	575	577
1101	558	612	575	578
1102	559	613	575	578
1103	559	613	576	579
1104	560	614	576	579
1105	561	615	577	580
1106	561	615	577	580
1107	561	616	577	581
1108	562	617	578	581
1109	563	618	578	582
1110	563	618	579	582
1111	564	619	579	583
1112	564	619	580	583
1113	564	620	580	584
1114	565	620	580	584
1115	565	620	581	584
1116	566	621	581	585
1117	567	621	582	585
1118	567	622	582	586
1119	567	622	583	586
1120	568	623	583	587
1121	568	623	584	587
1122	569	624	584	588
1123	569	624	585	588
1124	570	624	586	589
1125	570	625	586	589
1126	570	626	587	590
1127	571	626	587	590
1128	571	626	588	591
1129	572	627	588	591
1130	572	627	589	592
1131	572	627	589	592
1132	573	628	590	593
1133	573	628	590	593
1134	574	629	591	594
1135	574	629	592	594
1136	575	630	592	595
1137	575	630	593	596
1138	575	631	593	596
1139	576	631	594	597
1140	576	632	594	597
1141	576	633	595	598
1142	577	633	595	598
1143	577	633	596	599
1144	577	634	596	599
1145	577	634	597	600
1146	578	635	597	600
1147	578	635	598	601
1148	578	635	599	601
1149	579	636	599	602
1150	579	636	600	602
1151	580	637	600	603
1152	580	637	601	603
1153	580	638	601	604
1154	581	638	602	604
1155	581	639	602	605
1156	581	639	603	605
1157	582	640	603	606
1158	582	640	604	606
1159	583	641	604	607
1160	583	641	605	607
1161	583	642	606	608
1162	584	642	606	608
1163	584	643	607	609
1164	585	643	607	610
1165	585	644	608	610
1166	585	644	608	611
1167	585	645	609	611
1168	586	645	609	612
1169	586	646	610	612
1170	587	646	610	613
1171	587	647	611	613
1172	587	647	611	614
1173	588	647	612	614
1174	588	648	612	615
1175	589	648	613	615
1176	589	648	613	616
1177	589	649	614	616
1178	590	649	614	617
1179	590	650	615	617
1180	590	650	615	618
1181	591	651	616	618
1182	591	651	616	619
1183	592	652	617	619
1184	592	652	617	620
1185	593	653	618	620
1186	593	653	618	621
1187	594	654	619	621
1188	594	654	620	622
1189	595	655	620	622
1190	595	656	621	623
1191	596	656	621	623
1192	596	657	622	624
1193	597	658	622	624
1194	597	658	623	625
1195	597	659	623	625
1196	598	660	624	626
1197	599	660	624	626
1198	599	661	625	627
1199	599	661	626	628
1200	600	662	626	628
1201	600	663	627	629
1202	601	663	627	629
1203	601	664	628	630
1204	602	664	628	630
1205	602	665	629	631
1206	603	666	629	631
1207	603	667	630	632
1208	603	667	630	632
1209	604	668	631	633
1210	604	668	631	633
1211	605	668	632	634
1212	605	669	632	634
1213	606	670	633	635
1214	606	670	633	635
1215	607	671	634	636
1216	607	671	634	636
1217	607	672	635	637
1218	608	672	636	637
1219	608	673	636	638
1220	609	674	637	638
1221	609	674	637	639
1222	609	675	638	639
1223	610	675	638	640
1224	611	676	639	640
1225	611	677	639	641
1226	612	677	640	641
1227	612	678	640	642
1228	613	679	641	642
1229	613	679	641	643
1230	614	680	642	643
1231	614	680	642	644
1232	614	681	643	644
1233	615	681	644	645
1234	615	682	644	645
1235	615	682	645	646
1236	616	683	645	646
1237	617	684	646	647
1238	617	684	646	647
1239	617	685	647	648
1240	618	686	647	648
1241	618	686	648	649
1242	618	687	648	649
1243	619	687	649	650
1244	619	688	649	650
1245	620	689	650	651
1246	620	689	650	651
1247	621	690	651	652
1248	621	690	651	653
1249	622	691	652	653
1250	622	691	652	654
1251	623	692	653	654
1252	623	692	653	655
1253	623	693	654	655
1254	624	694	654	656
1255	624	694	655	656
1256	624	695	655	657
1257	625	695	656	657
1258	626	695	656	658
1259	626	696	657	658
1260	627	696	657	659
1261	627	697	658	659
1262	628	698	658	660
1263	628	698	659	660
1264	628	699	659	661
1265	629	700	660	661
1266	629	700	661	662
1267	630	701	661	662
1268	630	701	662	663
1269	631	702	662	663
1270	631	703	663	664
1271	632	703	663	664
1272	632	704	664	665
1273	632	704	664	665
1274	633	704	665	666
1275	634	705	665	666
1276	634	706	666	667
1277	634	706	666	667
