depth,coarse
0,0.872545964
1,2.447852618
2,2.590346835
3,2.07127814
4,1.708953181
5,1.996301269
6,1.85328537
7,1.001919043
8,1.465836026
9,1.640620322
10,1.4777372
11,1.622226745
12,1.313473838
13,1.105406094
14,0.785963123
15,0.63576216
16,0.551336271
17,0.227997115
18,0.189479214
19,0.148688835
20,0.402242808
21,0.260298588
22,0.35051196
23,0.09905671
24,0.304469412
25,0.822397588
26,0.312625251
27,0.219486767
28,0.107174509
29,0.195096329
30,0.08441193
31,0.288872143
32,0.094734523
33,0.077486772
34,0.10226179
35,0.164268823
36,0.206704237
37,0.126051978
38,0.23115071
39,0.434077
40,0.19660071
41,0.153177475
42,0.037409749
43,0.026228034
44,0.031011598
45,0.164736892
46,0.115650773
47,0.037328232
48,0.522330647
49,0.317260363
50,0.20716726
51,0.13152597
52,0.312853274
53,0.24627263
54,0.307830245
55,0.46076592
56,0.7834721
57,2.032799152
58,0.975463794
59,0.608445488
60,0.285826927
61,0.185748058
62,0.31099617
63,0.502300137
64,0.6101149
65,0.401442471
66,0.409416581
67,0.440379404
68,0.742741391
69,0.517045834
70,1.168179185
71,1.044529962
72,4.9316677
73,4.171822521
74,0.748147112
75,0.127258844
76,0.055213298
77,0.782538513
78,0.82083708
79,0.368028372
80,1.271081349
81,4.076708551
82,0.707781622
83,0.146366963
84,0.069342117
85,0.067201644
86,0.113728676
87,0.324137434
88,0.469626326
89,0.371507639
90,0.123752804
91,0.090915978
92,0.216071011
93,0.965380671
94,1.593952839
95,0.41608473
96,2.378866973
97,12.26855857
98,25.11221173
99,26.8377493
100,15.20170244
101,3.620456126
102,2.02979575
103,3.123927223
104,1.731808071
105,1.528995539
106,0.75345919
107,0.127450385
108,0.362499308
109,0.145703335
110,0.087071495
111,0.165102537
112,0.739027248
113,2.306400336
114,8.497909099
115,14.48913043
116,1.948993668
117,1.158100593
118,0.713000373
119,0.896045711
120,0.599524291
121,1.077994259
122,0.737885825
123,0.973676762
124,0.636782044
125,0.29044216
126,0.328707085
127,0.06343757
128,0.019809172
129,0.240445815
130,0.556083385
131,0.232584207
132,0.490660239
133,0.45119924
134,0.484630766
135,0.242034314
136,0.115353559
137,0.120124364
138,0.179112703
139,0.240926401
140,0.208298892
141,0.377983892
142,0.260005346
143,0.418066634
144,0.144275855
145,0.086737108
146,0.080012802
147,0.129458053
148,0.115436242
149,0.172567207
150,0.803882906
151,0.865704153
152,0.766256087
153,0.859256307
154,1.039896234
155,0.943666745
156,0.597481386
157,2.194122745
158,2.003419909
159,2.5363079
160,2.31092007
161,2.380709625
162,0.352192449
163,0.38465169
164,0.646821198
165,0.317413912
166,0.207086395
167,0.404899027
168,0.308190972
169,0.315232646
170,0.181551195
171,0.061520355
172,0.036111052
173,0.074539717
174,0.062099458
175,0.039846811
176,0.056263607
177,0.139760561
178,0.084125099
179,0.543586675
180,2.140568367
181,1.87462912
182,2.684581336
183,1.320474428
184,1.069689107
185,0.66429665
186,0.889131731
187,0.314395415
188,0.146444009
189,0.062540591
190,0.232476752
