"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",-5.186769,3.438604,95.3559185,102.5953265,108.2113245,114.6405315,124.6166865,132.1085925,156.3104935,162.6029495,176.4341015,273.1576715,276.9137695,281.1749595,319.8500815,337.2914905,366.650311,431.565762,523.0011855,614.8487989,648.2966129
"2",-6.334559,0.361672000000002,99.2670535,107.3654985,115.6124955,125.672715,129.77358,134.219164,156.104902,159.494909,168.549511,277.577976,281.491427,285.413929,323.289934,341.732768,386.2035955,444.03223,515.057817,599.51012195,634.29666845
"3",-6.07127700000001,0.287661999999994,95.5244995,101.7039745,105.6626005,120.6661825,125.6096775,131.3980015,159.9216045,162.122239,172.237983,264.73128275,267.03664125,271.25217925,304.68052225,336.64303325,398.85646825,450.87630575,511.94133275,607.18546525,664.64466525
"4",-5.689183,-0.780323499999998,81.289132,91.236581,97.550029,122.489905,126.370903,134.809335,159.8382215,163.944587,175.180837,260.6998395,263.0907645,273.7237145,307.1561205,335.3591575,379.9558995,424.821497,511.879387,596.628036,632.3606085
"5",-6.3731565,6.40321049999999,95.952415,105.705837,112.783835,131.74943,133.486407,142.13601,156.786725,162.047429,169.677015,272.7256865,279.3587535,286.3094235,306.1400115,338.2516245,374.4210815,452.454008,546.263565,635.6713455,672.7254465
"6",-4.900456,8.493267,99.1360775,106.1465835,114.7380575,135.2563885,137.5434815,141.1344015,159.5153435,162.8171445,171.6078335,260.922334,267.76214,276.937251,310.371168,329.022293,365.2099759,431.4076209,507.5628379,619.2307736,650.1968576
"7",-4.7877625,8.46713650000001,95.2342025,100.0695985,107.845546,132.270306,134.2308625,138.5114535,161.240361,163.108419,177.051489,272.5224625,277.5641845,282.6395665,316.9085965,340.7578895,371.5775615,444.5233645,510.5173265,602.5019645,643.454806
"8",-5.4464635,2.73313950000001,90.8364755,95.5055059,106.906697,130.197482,133.506919,137.444478,159.4910725,164.2566905,184.0688935,274.756766,280.539475,284.455742,308.762825,327.364063,355.5783876,432.08742295,518.00050695,636.50048045,669.54613345
"9",-4.52281,5.599188,90.1877575,94.6494375,101.852001,121.774843,126.032601,140.119288,161.8352108,163.3531485,177.3735525,258.8829625,268.0945875,276.3934165,304.2595655,330.0788445,375.7329415,458.2502245,539.302925,633.1034745,666.510004
"10",-4.1547355,0.623437499999997,100.142186,106.650109,117.755998,127.138784,131.101995,139.986254,161.688474,164.336402,178.981549,275.3544735,283.2204935,290.9464525,314.0969835,341.2696285,390.8605934,441.6765225,521.6573325,611.553247,654.372318
"11",-3.99910349999999,-0.670981999999998,103.426045,108.329157,117.7657625,127.1427105,129.6525395,138.9940335,159.9278515,162.3527125,173.3956505,258.18932295,270.55364895,280.67118095,309.22293395,323.17262095,366.18500995,434.83727195,511.7038381,596.78639335,633.10381625
"12",-5.057823,-0.463177600000003,88.6961115,94.0545315,106.3877975,119.4798075,121.1227385,129.8623695,160.0088485,165.5298065,180.4279425,255.5434105,263.1571935,270.0909685,303.5177125,329.6509755,371.6698145,430.45501975,501.28100125,597.65530475,617.49796325
"13",-5.592084,6.21043699999999,96.5314555,102.6741415,117.0527205,129.0966655,132.9041245,137.4336785,160.6218395,165.8504095,181.5418055,244.644024,251.5046445,264.3445649,320.0370025,343.5161285,383.8249917,470.8607035,544.3863785,633.8164895,671.5853561
"14",-3.7727265,9.58903949999999,100.8712185,105.3526415,116.5614905,125.0364105,127.7223155,135.1669965,162.6136285,165.6607795,192.4467795,278.387977,282.9861525,289.8515919,319.7156025,334.2407465,379.6464355,454.222996,537.13408,605.539455,637.446426
"15",-4.061479,2.621818,99.48991,107.6659075,116.6134245,121.902815,132.162755,140.736381,161.701704,163.814799,181.147503,263.576479,269.307084,277.463679,301.22109,333.4357219,379.9973705,460.4554725,527.6278105,585.7507665,615.74390185
"16",-6.1685075,0.213940500000003,109.5317,116.799827,126.1926072,133.079667,137.296577,143.029798,166.699739,170.652969,188.399495,261.7803825,273.4913125,283.5578175,309.3992525,327.7265605,390.627453,467.086839,539.241602,617.629161,662.174309
"17",-7.03588349999999,0.0392275000000063,99.59408235,108.69348035,122.42229005,128.80872585,133.92107885,140.59493585,162.73293485,165.24392795,174.28519135,269.40743435,275.72121735,287.76146335,319.98418435,343.51737235,381.31048135,451.18465435,531.28166035,619.63879485,657.03486465
"18",-6.32988034999999,0.359971650000002,91.40343965,107.53001265,121.56477365,134.82248965,138.56656765,145.25662665,160.47234765,166.20370465,186.30028265,274.69251565,277.64625265,285.13161905,310.30626615,325.48140715,369.71197915,428.17335565,500.05620115,600.97393565,637.08468765
"19",-4.89548899999999,0.1570631,97.6291651,107.3770191,116.6569431,137.4278551,140.3218369,146.3247786,163.5688191,167.1514201,185.8333031,276.2463431,279.6046231,287.7147815,306.1061246,324.1778336,370.1647221,443.9538756,526.6129586,621.4913816,656.8857611
"20",-4.27733349999999,6.40515850000001,93.397376,104.3833046,112.222651,126.082173,132.672167,138.093354,164.431621,169.745245,184.430198,269.7657375,275.8593295,284.3405495,316.2457745,331.289755,372.743136,445.26494,544.808555,626.815757,663.705018
"21",-5.613929,2.043533,103.975424,113.055779,122.113446,130.371934,139.502616,144.451826,166.544064,171.001093,190.284789,273.9819915,282.1602415,296.7374975,325.091926,340.5442775,381.6795175,452.2801255,535.718385,627.202479,651.6313695
"22",-3.5743645,2.77976050000001,101.840207,107.4488776,119.0773275,130.8779085,133.3817735,139.9185585,156.4804825,160.8438315,174.7839335,274.7246235,282.1327515,287.1798405,317.0769985,337.400551,377.115368,452.83537,526.448609,620.0796955,651.0432315
"23",-5.147365,4.7911758,101.9130405,108.164957,117.96239,131.95799,135.005268,143.21348,163.113899,168.180894,182.389893,274.25002,279.595966,285.022868,313.373645,339.874974,389.2286454,456.3780835,528.439317,617.2437125,664.4424445
"24",-5.46874395,5.33472205,99.69319605,105.28976855,120.73269255,133.49941705,135.12314855,146.88801055,159.92487655,165.69501955,180.88517455,275.50533455,282.28169455,289.64825205,310.67672055,344.18441555,384.44857755,434.46381105,510.96442305,623.5478909,655.1968324
"25",-6.9615875,-1.239975,100.015036,103.986398,119.221466,138.144206,140.161533,149.647049,160.5908975,164.21726,179.002359,273.2066665,280.6270615,289.1027255,313.1762485,326.108656,372.2591817,442.0017775,526.187644,616.725895,659.33909
"26",-5.14023699999999,0.170594000000007,107.4253465,114.4696115,126.4314091,136.4310445,138.1861683,146.784626,160.363818,164.450141,174.866683,271.4681915,278.0891515,284.4037235,320.2108555,343.9610115,371.0546455,424.332446,535.3966145,604.0307025,653.909325
"27",-4.89366999999999,2.42729200000001,105.8179115,112.7262735,125.3633205,138.3165045,140.2240265,144.2578735,158.770602,160.5407845,176.0605045,263.706783,268.58812,273.813367,300.163826,335.286503,368.690928,423.0221975,516.011977,597.9469325,652.7378565
"28",-5.13549800000001,-0.702908000000008,99.315299,109.078814,117.077234,128.178439,131.0512238,142.6981005,157.450259,159.223105,171.091278,267.8406355,270.7480955,279.4832675,303.0577305,337.9259205,384.260789,450.4005185,524.5101773,578.130595,625.3982305
"29",-3.41028699999999,4.234392,93.475134,98.5744225,105.0171305,118.9609705,126.3891585,140.1261895,161.371864,163.559791,176.327506,272.230286,276.467219,281.441735,305.469327,338.216286,380.4690435,467.3655235,541.61995385,594.32482385,635.22138635
"30",-6.1694985,1.231153,95.672871,104.48726,111.0982103,123.4003183,127.7511938,140.5401173,158.6324973,162.5884393,175.5193853,267.7085423,280.8522213,288.6637077,314.0835888,347.2424228,386.2973493,443.1525738,521.3998363,593.9914893,633.1764843
"31",-6.2268555,-0.373345000000005,79.78525,90.156342,100.3456,113.535865,117.452552,128.8490465,156.9366965,159.309272,173.6803,269.21625,272.117597,282.193313,312.852905,336.7392535,376.5726974,441.3589975,510.4970605,589.546955,626.2491007
"32",-2.622317,4.47283,98.337369,109.1365122,122.3960415,135.454324,137.961027,144.064887,169.932494,177.559146,186.195444,254.394725,260.711624,274.09597,302.308383,319.389807,368.4507256,437.3279435,519.0476098,609.651362,643.600389
"33",-4.6457115,0.370582500000003,92.144001,108.353279,119.3725336,130.777364,132.818887,144.047549,167.5521225,175.9664245,186.2913125,275.7513745,283.3262625,285.926013,305.6228155,328.2169045,367.6554975,436.487016,537.0368846,627.1549229,649.8613869
"34",-4.97510699999999,2.0319305,104.6432635,114.8727495,120.9582265,128.3615985,135.1460895,144.3506565,163.0190105,169.9445925,187.7237135,268.9061985,276.9178975,286.6716185,312.3616169,336.1939349,381.3530789,436.1678327,524.8616839,598.1471932,623.1988652
"35",-3.6054001,1.78445239999999,92.3091039,103.2652489,116.0680749,124.8741814,132.8263354,144.4939374,160.2517228,163.3918129,172.9302809,262.3793914,265.1444034,274.8822114,300.9984859,317.2101619,372.2698689,425.7204174,509.4577429,591.4352624,619.6018324
"36",-3.96970409999999,2.12771918000001,103.1089596,108.1552876,120.7412436,130.3246986,135.9710756,143.6488116,163.8385001,167.6167241,176.5884631,277.2593691,281.2796361,288.1082011,309.6486561,328.6283411,367.6419101,427.9193131,507.2239731,602.7992016,633.4755851
"37",-5.97274,-0.286496720000004,98.12679435,104.58365435,113.66387065,125.11743085,127.72095485,134.14309185,159.19395885,160.40363785,178.17651385,261.21440035,269.93968435,273.70524715,297.42950235,315.98879135,359.72651485,443.71762635,526.44325135,604.44561385,643.26679185
"38",-6.11514999999999,0.130915600000006,96.102608,108.705936,120.602439,132.519624,138.58654,143.9522825,158.972527,161.446236,172.77369,270.2580255,275.6660425,286.0455505,306.3115925,328.2501825,369.8299707,439.2029915,524.1673175,615.349602,652.2630515
"39",-3.27225999999999,3.17813949999999,92.215933,105.773786,116.553675,131.876833,136.56539,139.8872185,158.7770805,163.3664925,173.1877135,275.152712,278.353249,288.630619,317.2937264,343.1438245,382.9701815,440.8744425,521.6841595,594.5825335,636.640323
"40",-5.785598,-1.51372440000001,81.9251675,95.1691955,104.7073845,120.7801005,130.7770255,135.1973245,158.9727695,161.2339387,174.0288355,268.0678248,275.3031388,281.2376778,320.2935333,342.3563362,379.2013268,438.2219453,544.6775528,588.82683275,638.97250425
"41",-6.24712499999999,1.408347,96.860931,108.580704,121.83479,130.548431,134.213801,143.334015,158.892633,160.854399,177.305524,274.726589,278.06686,285.029186,329.570133,364.68821,431.302321,488.01063766,533.31394515,582.09455615,618.16086815
"42",-3.820381,0.101010999999997,82.174384,87.310717,99.592412,118.9199235,123.7026465,140.0357485,161.7766975,163.2562535,176.8801085,274.6753285,278.4073106,284.487972,321.765159,347.0778425,397.895864,457.916988,522.407712,593.937753,630.027316
"43",-5.33252,6.33776460000001,102.4895121,109.6115231,117.3332801,124.1974536,129.6348436,138.4320986,158.6944354,160.5676439,175.4582921,271.0747906,274.5527754,283.5649896,308.6714726,334.8466771,383.4579321,453.8111666,539.7702996,604.5605756,633.1015431
"44",-5.834634,3.656079,102.248181,112.746764,118.687758,129.749191,132.971852,144.379141,160.370969,166.1450577,175.9110295,269.6171905,274.4326664,282.926615,312.957042,335.943416,382.3803113,459.612459,531.1700795,604.8359128,629.9170573
"45",-5.7922205,5.86521050000001,102.4627705,111.2134295,116.8760895,124.6659105,130.8572955,141.5280175,163.0499555,165.1056215,175.8651255,257.048597,260.908875,266.392583,297.2603825,337.7581955,385.50690244,456.4035822,529.3554742,594.7035012,630.7300937
"46",-4.834205,4.38196700000001,100.8750995,108.3445555,123.8627059,128.0107775,135.8148925,144.4745785,161.0870245,165.0471885,173.0621225,271.4677305,279.7167965,286.3362467,313.2505917,331.3341792,370.8339987,467.6215817,528.2364897,590.1736091,633.0688641
"47",-6.04918200000001,6.080979,100.6713755,109.5665695,118.1808365,129.1787305,132.1477805,137.4859175,157.606489,163.1865705,175.9667945,278.1869105,287.8051565,292.6373395,315.917665,327.7872645,361.74723665,459.86837565,530.77133265,617.20126965,648.08445425
"48",-2.777395,0.188791000000005,102.327842,112.390584,118.598835,132.541847,135.10181,144.838672,166.038867,174.704603,187.504207,272.7388915,280.6455315,283.7551365,310.4774135,332.9351215,364.2991905,457.503739,530.26219,615.7271515,662.0235145
"49",-3.621895,-0.822946000000007,94.252067,107.677051,118.5717536,126.984084,128.994323,136.012719,155.8812455,160.7205625,185.2246235,272.2384365,274.7235315,280.9494465,306.1730955,337.1095685,374.9481085,429.5249905,529.03635405,614.60116105,666.04622355
"50",-4.4833265,-0.691951099999989,90.543579,105.045474,115.4162856,124.4070775,127.9113675,131.7810725,160.665271,163.950322,174.005907,273.3806295,282.1780585,288.9454655,313.7082415,332.5736105,377.631553,428.743784,518.987583,617.987492,653.779392
"51",-4.05599399999999,5.414856,96.2135575,105.1716243,112.1495485,120.604831,127.077959,138.050547,162.271146,165.773011,181.421531,272.1818105,281.9374695,284.7403385,305.754902,331.368176,368.887061,440.4161265,515.0799055,594.001273,638.5776805
"52",-1.62333799999999,8.1792835,98.213646,103.073475,110.557718,128.900221,131.252763,141.561585,161.949562,165.390199,173.006446,271.6638325,275.3421235,282.1205625,309.197756,322.50153575,350.86270275,443.69792575,520.43048625,588.43742425,620.82764225
"53",-3.9085745,6.82458950000001,99.025748,107.540883,124.227875,134.577008,137.441938,142.41689,158.722778,163.711106,178.503633,276.964749,279.7870221,284.4432545,321.7971405,336.00649,365.8507235,441.898096,532.2569775,607.772696,640.102008
"54",-3.298906,9.24194200000001,93.6725695,100.1664935,113.3197265,124.7743325,131.2280565,138.4544475,158.4263925,162.6786845,169.3039635,267.887628,270.215908,278.010633,314.2456493,343.591403,379.259884,454.69084,518.511019,620.2972875,650.2493735
"55",-5.6945773,5.6268415,100.4787495,107.3403695,114.1750535,128.8701275,134.9137775,139.4081725,158.9575635,162.648728,175.0229,276.696842,279.5871495,285.7087855,303.2739675,330.9266325,362.959115,442.8307435,516.1397365,596.404063,619.10894
