Depth,Median,Min,Max
7.5,2003,1957,2004
64,1964,1963,1965
77.5,1979,1962,1980
93.5,1982,1960,1983
102.5,1768,1648,1936
112.5,1651,1636,1795
138.5,1422,1295,1630
151.5,1848,1687,1925
190.5,1833,1694,1917
233.5,1774,1670,1914
315,1842,1675,1943
347.5,1841,1677,1942
366,1846,1691,1921
421.5,1659,1643,1796
442,1767,1660,1929
444.5,1676,1645,1800
514.5,1663,1638,1800
575.5,1771,1646,1800
643.5,1659,1643,1796
716.5,1486,1453,1620
745.5,1499,1453,1625
778,1493,1456,1623
809,1516,1457,1631
890,1470,1448,1615
1031.5,1362,1285,1390
1052.5,1345,1305,1403
1118.5,1279,1265,1297
1180,1358,1292,1395
