"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"2359",-14.591595,63.7971225,111.6616705,159.4332115,178.8599315,187.1357615,199.6273315,206.8691255,213.4186015,220.9791835,230.1633875,264.8622365,280.4275145,294.6169465,306.9545915,313.7252245,321.6982955,327.8641915,359.0556915,421.3118795,464.2159845,467.2525295,469.2235961,472.66324,476.760789,486.146422,494.764204,508.218663,517.860099,531.1373495,536.8374995,571.8913185,593.8680075,609.1476845,615.8108425,638.9137045,642.2513745,671.9548445,697.2966703,726.420999,749.890874
"2360",-15.038225,43.612332,108.817026,174.440986,185.208246,194.073646,206.069217,212.119101,219.776051,228.698806,244.123316,269.659246,283.560568,299.829696,330.454082,339.227436,352.504336,356.532292,401.494316,445.952636,469.258421,472.606408,479.132111,485.158735,494.391281,502.127913,514.9167985,525.8258545,530.2416585,538.3225435,544.0536855,578.9873005,598.5631985,619.3886289,629.590149,643.096597,648.212161,669.035307,699.544197,752.955246,771.313007
"2361",-18.997745,54.347638,108.661224,162.358297,179.042883,181.121609,184.51583,189.581346,198.385316,216.230236,230.236666,258.423371,273.225653,281.305421,306.819457,316.609136,328.415796,342.385992,380.622165,434.008556,471.020331,472.579639,476.922664,485.048812,489.259217,500.028601,521.605761,529.209799,534.214556,547.500532,549.853293,583.361031,598.662314,608.248717,626.673901,644.111911,647.41199845,665.20273345,708.90704045,752.40529045,767.69483195
"2362",-11.48001,44.32912,120.031255,160.01587,174.282796,178.192782,181.007391,182.556043,193.632535,209.315745,222.411598,268.81305,286.048641,296.65937,318.89937,329.47392,337.592571,343.223655,394.999668,452.067768,465.6456895,470.2487695,478.5009145,482.8831035,486.0960205,496.4805715,505.9397375,513.1214885,524.7741625,550.1667755,552.6159575,584.4992275,595.4088335,608.9113275,633.7127575,648.3465125,653.1971875,664.2240475,686.6745855,710.4348194,723.030722
"2363",-13.789622,50.64664,107.250944,161.6061465,177.9535465,189.6042665,196.5254325,200.9646645,207.3717565,212.9549415,227.0891555,268.104896,284.906586,295.043218,313.690531,324.5751095,328.9580805,334.8000925,385.3610175,433.0329025,449.7698425,453.9103475,464.9768375,469.6436681,472.5737,482.126195,489.732454,508.149674,518.354609,535.7411775,541.4289925,566.2411055,579.774469,595.6732834,614.1270425,627.7133325,631.4152915,652.6250665,659.9156178,690.4704278,717.5512058
"2364",-8.223887,59.458794,132.122992,167.6645715,182.4610015,201.0248415,207.7343595,212.0699715,227.8734215,236.1699265,252.4627885,282.7379915,287.3644685,299.5495215,309.8368645,321.9435715,338.5647605,344.2930365,383.0110565,418.2241035,460.9128285,461.456676,465.473843,467.40051,470.412483,482.594232,496.344967,517.360653,525.614377,536.904292,539.981232,585.574191,602.914657,618.135222,631.997178,635.911922,651.097482,668.264449,707.832277,767.053982,785.501912
"2365",-6.01978299999999,50.761257,118.1306,152.4241485,167.2007945,178.2625645,194.0238228,199.039756,216.731486,224.653309,231.082535,278.018931,286.410732,297.419457,305.144734,310.940201,324.257061,333.771621,367.808254,404.0430815,435.9879595,447.0357495,455.2654035,470.8057045,483.1716445,500.4859595,517.8817645,528.9470595,539.6936695,553.9182165,558.4775345,587.9672995,597.8334725,610.9238075,621.176566,634.262502,643.91576,667.518242,695.257454,739.883812,772.648249
"2366",-8.000484,43.5275425,114.0436915,150.4641935,171.651734,173.764746,182.495876,190.805096,197.334316,202.500549,210.520576,260.212546,272.143931,293.566331,311.987266,324.733005,333.439836,340.830274,391.079361,427.838583,467.856781,469.8434255,476.9294445,483.9016135,488.2322275,497.5452685,521.6207145,533.748488,539.401251,553.420321,560.4003875,607.4687545,616.2115585,625.8054805,636.1196785,649.5056885,656.5722085,670.4793325,715.6366209,753.8364745,776.7454725
"2367",-14.358103,23.533159,89.889424,149.7075225,164.8815315,169.0380515,177.8245015,190.1549415,197.5641665,228.3233665,238.9623315,267.8368965,278.4645305,297.9352915,322.4278315,337.7524915,350.8562715,355.0562015,387.9310025,430.4736825,470.2668125,475.7676745,482.5106775,488.6301925,493.1775515,503.1214275,512.0083975,524.6573465,533.7816425,551.5115775,556.1818755,601.6759455,613.1065305,620.6587845,635.8040525,640.0846275,650.1821995,675.6251025,701.988104,742.302659,769.072896
"2368",-9.35552,28.7365135,98.8661385,148.2382935,167.6213585,176.7385285,191.1583685,204.6217285,220.9636985,234.1071715,237.019836,269.364225,275.181196,292.2954215,307.6911315,318.2292735,328.7510505,331.0781305,376.1777285,415.2581475,444.541486,454.448876,463.5762,468.295586,480.479146,494.443456,504.443546,513.031032,516.556016,536.137267,539.691851,574.30753,583.492436,593.534086,610.109286,624.678066,637.650234,655.999546,684.360016,702.397653,733.528808
"2369",-9.75428700000001,29.953265,87.499743,155.666048,177.154826,180.90077,190.539565,200.347565,219.500565,228.441995,233.070526,283.387625,296.025115,306.759045,317.947697,328.449733,366.270912,369.137062,401.739865,446.858561,469.230925,479.989315,486.684045,491.556395,492.864418,497.416042,503.3579315,513.5899865,524.9988765,551.9838665,560.6860215,592.0181155,604.7250915,631.1519865,634.1708475,644.9493515,651.6022515,664.1390865,685.8981145,703.540016,734.684004
"2370",-16.587879,28.80911,103.016378,175.80193,192.38166,198.24902,206.185748,213.4961,224.6895,238.708664,246.44185,277.021945,280.637517,295.254262,308.959365,324.106671,339.866103,344.736935,390.626104,415.440806,439.0085845,444.9929295,451.0391645,460.3902505,469.5213445,480.5571905,494.2071195,508.2062195,525.2473445,545.4829245,555.1070885,581.964579,590.831165,613.791996,617.774275,631.21315,639.116495,666.470165,691.304724,729.167205,765.152587
"2371",-18.136993,32.62815,112.969235,180.17676,189.807561,193.768265,200.988677,209.333245,227.986035,245.762511,251.762925,288.391515,293.938944,299.544596,305.051989,313.625987,319.7674834,322.817701,375.16868,419.4332485,456.4524985,465.8286885,474.5128085,477.8695605,483.4302575,494.4834785,496.234668,504.615208,514.390518,538.059482,540.221192,565.983778,581.852168,597.6944041,621.9321165,635.7428765,644.2302865,664.8823815,702.6797685,738.8903465,782.1623935
"2372",-12.58975,41.971109,111.197219,153.3694785,160.4261225,163.7006445,173.6814245,183.4383445,203.8340445,226.6904345,240.1127205,278.1134045,285.6373555,293.3153145,308.2170145,317.3689925,325.3273565,330.1108245,385.0263745,424.5530495,463.0368505,472.1431005,478.5233005,482.9461015,487.4643475,499.1043515,504.7422005,513.1900565,518.2445405,540.6362555,543.6124905,579.6973875,586.2867105,608.3065545,622.6803505,631.8046505,641.2353705,662.8484755,719.6048655,756.6298885,783.3479745
"2373",-25.897915,30.473772,79.049513,123.536032,146.314608,149.54558,158.481733,164.034725,182.275245,194.735368,200.423826,251.83199,264.92042,283.90699,314.12915,338.05627,344.265855,352.563135,399.454562,414.8001504,442.675658,452.711502,457.60194,461.232274,472.997461,485.085673,491.517378,501.009923,517.384453,554.189113,557.255796,596.467193,608.185963,615.335962,626.497818,633.566778,643.721143,666.333684,707.191788,744.725262,788.749928
"2374",-5.73936199999999,38.60127,97.9731845,151.2376265,177.9358815,179.6439875,185.7174575,195.0595775,208.8423775,218.7203975,224.2853255,268.4847575,274.2231415,295.1767165,316.8833855,331.9171805,334.7208485,338.0742965,382.1392945,409.1683705,449.7386165,464.9816465,476.6646165,484.3985465,494.2805765,499.7396705,505.238714,515.529839,525.882539,546.484369,556.039751,592.837094,609.336824,621.75822,634.700928,640.515174,644.476854,669.011804,701.373346,741.514032,760.377748
"2375",-6.749462,29.9962155,100.8478585,156.6192565,172.5023535,180.1950735,183.9964465,191.7895985,208.3436285,217.9621535,234.4363335,267.6915185,279.1361335,290.3077985,301.5230455,318.1722385,325.0196355,327.9124255,395.7711435,438.1171525,459.030959,468.039163,471.784655,480.791889,488.053049,497.107835,508.306064,516.009259,533.404919,540.068375,541.012442,579.085053,589.368153,606.941739,622.555458,627.853513,632.13361,658.605104,685.76114,716.79407,741.733855
"2376",-16.3801245,39.2914785,110.5181105,152.857918,171.324468,178.577271,182.873907,190.120663,202.680963,216.432823,235.464589,270.442878,288.959028,310.648518,339.951753,360.452789,364.067999,368.021021,400.791146,437.947976,468.555381,469.9301175,473.8104455,478.8610565,484.2691425,497.2321615,502.4919415,506.560125,516.76188,532.220198,535.7554103,583.5367715,598.6600465,616.4367635,629.3298015,633.8426015,638.3403835,667.8082415,697.5719215,738.9549115,755.8036525
