Depth,Median,Min,Max
29,1981,1961,1982
53,1661,1644,1797
119,1831,1694,1917
170.5,1773,1666,1910
239.5,1831,1694,1917
289,1772,1651,1939
353,1566,1499,1639
373,1556,1514,1643
467.5,1435,1411,1455
557.5,1407,1326,1426
677,1286,1275,1300
