median_age,event_indx,freq100yr
2013.9,0,NaN
2012.2,0,NaN
2010.8,0,NaN
2009.4,0,NaN
2008,0,NaN
2006.6,0,NaN
2004.6,0,NaN
2002.6,0,NaN
2000.7,0,NaN
1998.8,0,NaN
1997,0,NaN
1995.1,0,NaN
1993,0,NaN
1990.9,0,NaN
1988.9,0,NaN
1986.9,0,NaN
1984.9,0,NaN
1982.9,0,NaN
1980.7,0,NaN
1978.4,0,NaN
1976.5,0,NaN
1974.8,0,NaN
1973.1,0,NaN
1971.3,0,NaN
1969.4,0,NaN
1967.4,0,NaN
1966.2,0,NaN
1965,0,NaN
1963.8,0,1
1962.3,0,1
1960.9,0,1
1960.2,1,1
1959.5,0,1
1958.9,0,1
1958.3,0,1
1957.8,0,1
1957,0,1
1956.2,0,1
1955.5,0,1
1954.8,0,2
1954.1,0,2
1953.4,0,2
1952.6,0,2
1951.9,0,2
1951.1,0,2
1950.4,0,2
1949.8,0,2
1949,0,2
1948.3,0,2
1947.6,0,2
1946.9,0,2
1946.1,0,2
1945.2,0,2
1944.4,0,2
1943.6,0,2
1942.8,0,2
1941.5,0,2
1940.2,0,2
1939.1,0,2
1937.9,0,2
1936.8,0,2
1935.6,0,2
1934.3,0,2
1933.1,0,2
1931.9,0,2
1930.8,0,2
1929.6,0,2
1928.4,0,2
1927.1,0,2
1925.9,0,2
1924.6,0,2
1923.4,0,2
1922.2,0,2
1921.1,0,2
1919.9,0,2
1918.8,0,2
1917.5,0,2
1916.3,0,2
1915,0,2
1913.8,0,2
1912.6,0,2
1911.4,0,2
1910.2,0,2
1908.9,0,1
1907.7,0,1
1906.5,0,1
1905.3,1,1
1904,0,1
1902.7,0,1
1901.4,0,1
1900.1,0,1
1898.8,0,1
1897.5,0,1
1896.3,0,1
1895,0,1
1893.7,0,1
1892.4,0,1
1891.2,0,1
1890,0,1
1888.9,0,1
1887.7,0,1
1886.4,0,1
1885.2,0,1
1883.9,0,1
1882.7,0,1
1881.5,0,1
1880.4,0,1
1879.1,0,1
1877.8,0,1
1876.7,0,1
1875.5,0,1
1874.2,0,1
1872.9,0,1
1871.6,0,1
1870.4,0,1
1869.3,0,1
1868.1,0,1
1866.7,0,1
1865.3,0,1
1864,0,1
1862.7,0,1
1861.5,0,1
1860.3,0,1
1859,0,1
1857.7,0,1
1856.3,0,1
1855,0,1
1853.7,0,0
1852.5,0,0
1851.2,0,0
1850,0,0
1848.8,0,0
1847.5,0,0
1846.3,0,0
1845.1,0,0
1843.9,0,0
1842.6,0,0
1841.3,0,1
1840.1,0,1
1838.8,0,1
1837.5,0,1
1836.2,0,1
1835,0,1
1833.6,0,1
1832.4,0,1
1831.1,0,1
1830,0,1
1828.8,0,1
1827.6,0,1
1826.3,0,1
1825,0,1
1823.9,0,1
1822.7,0,1
1821.5,0,1
1820.3,0,1
1819,0,1
1817.9,0,1
1816.8,0,1
1815.7,0,1
1814.5,0,1
1813.2,0,1
1812.2,0,1
1811.2,0,1
1810.1,0,1
1809,0,1
1807.8,0,1
1806.9,0,1
1806,0,1
1804.9,0,1
1803.8,0,2
1802.6,0,2
1801.3,0,2
1800,0,2
1798.7,0,2
1797.4,0,3
1796.2,0,3
1794.9,0,3
1793.5,0,3
1792.3,0,3
1791,1,3
1789.6,0,3
1788.3,0,4
1786.9,0,4
1785.5,0,4
1784.1,0,4
1782.7,0,4
1781.4,0,4
1780.2,0,4
1778.8,0,4
1777.3,0,4
1775.9,0,4
1774.7,0,4
1773.5,0,4
1772.2,0,4
1770.9,0,4
1769.6,0,4
1768.4,0,5
1767.1,0,5
