Depth,Median,Min,Max
7,2008,1957,2009
75.5,1833,1692,1919
113,1765,1661,1919
182,1829,1695,1916
251,1772,1651,1939
287,1567,1475,1635
324,1493,1456,1587
375,1571,1476,1633
412,1492,1451,1580
421,1570,1490,1636
450.5,1467,1446,1614
497,1426,1408,1442
532,1287,1276,1387
624.5,1283,1269,1376
702,1167,1047,1219
