Year,BHAC6,BHAC5,BHAC5max,BHAC5min,AM4Age,AM4Freq,AMstack
532,0.166401,NaN,NaN,NaN,653.2,3,4
531,0.166401,NaN,NaN,NaN,652.6,3,4
530,0.166401,NaN,NaN,NaN,652.1,4,4
529,0.166401,NaN,NaN,NaN,651.5,4,4
528,0.166401,NaN,NaN,NaN,651,4,4
527,0.166401,NaN,NaN,NaN,650.5,4,4
526,0.166401,NaN,NaN,NaN,650,4,4
525,0.166401,NaN,NaN,NaN,649.5,4,4
524,0.166401,NaN,NaN,NaN,649,4,4
523,0.166401,NaN,NaN,NaN,648.5,4,4
522,0.166401,NaN,NaN,NaN,648,4,4
521,0.166401,NaN,NaN,NaN,647.5,4,4
520,0.166401,NaN,NaN,NaN,647.1,4,4
519,0.166401,NaN,NaN,NaN,646.5,4,4
518,0.166401,NaN,NaN,NaN,646,4,4
517,0.166401,NaN,NaN,NaN,645.4,4,4
516,0.166401,NaN,NaN,NaN,644.8,4,4
515,0.166401,NaN,NaN,NaN,644.3,4,4
514,0.166401,NaN,NaN,NaN,643.7,4,4
513,0.166401,NaN,NaN,NaN,643.1,4,4
512,0.166401,NaN,NaN,NaN,642.5,4,4
511,0.166401,NaN,NaN,NaN,641.9,4,4
510,0.166401,NaN,NaN,NaN,641.4,4,4
509,0.166401,NaN,NaN,NaN,640.9,4,4
508,0.166401,NaN,NaN,NaN,640.3,4,4
507,0.166401,NaN,NaN,NaN,639.8,4,4
506,0.166401,NaN,NaN,NaN,639.2,4,4
505,0.166401,NaN,NaN,NaN,638.7,4,4
504,0.166401,NaN,NaN,NaN,638.2,4,4
503,0.166401,NaN,NaN,NaN,637.7,4,4
502,0.166401,NaN,NaN,NaN,637.1,4,4
501,0.166401,NaN,NaN,NaN,636.7,4,4
500,0.166401,NaN,NaN,NaN,636.1,3,4
499,0.536049,NaN,NaN,NaN,635.5,3,NaN
498,0.536049,NaN,NaN,NaN,635,3,NaN
497,1.127368,NaN,NaN,NaN,634.4,3,NaN
496,1.127368,NaN,NaN,NaN,633.9,3,NaN
495,1.127368,NaN,NaN,NaN,633.3,3,NaN
494,1.127368,NaN,NaN,NaN,632.7,3,NaN
493,1.127368,NaN,NaN,NaN,632.2,3,NaN
492,1.127368,NaN,NaN,NaN,631.6,3,NaN
491,1.127368,NaN,NaN,NaN,631.1,3,NaN
490,1.127368,NaN,NaN,NaN,630.5,3,NaN
489,1.127368,NaN,NaN,NaN,629.9,3,NaN
488,1.127368,NaN,NaN,NaN,629.4,3,NaN
487,1.127368,NaN,NaN,NaN,628.8,3,NaN
486,1.127368,NaN,NaN,NaN,628.2,3,NaN
485,1.127368,NaN,NaN,NaN,627.7,3,NaN
484,1.127368,NaN,NaN,NaN,627.2,3,NaN
483,1.127368,NaN,NaN,NaN,626.6,2,NaN
482,1.127368,NaN,NaN,NaN,626,2,NaN
481,1.127368,NaN,NaN,NaN,625.6,2,NaN
480,1.127368,NaN,NaN,NaN,625,2,NaN
479,1.127368,NaN,NaN,NaN,624.5,2,NaN
478,1.127368,NaN,NaN,NaN,624.1,2,NaN
477,1.127368,NaN,NaN,NaN,623.6,2,NaN
476,1.127368,NaN,NaN,NaN,623.1,2,NaN
475,1.127368,NaN,NaN,NaN,622.6,2,NaN
474,1.127368,NaN,NaN,NaN,622.1,2,NaN
473,1.127368,NaN,NaN,NaN,621.5,2,NaN
472,1.127368,NaN,NaN,NaN,621,2,NaN
471,1.127368,NaN,NaN,NaN,620.4,2,NaN
470,1.127368,NaN,NaN,NaN,619.9,2,NaN
469,1.127368,NaN,NaN,NaN,619.4,2,NaN
468,1.127368,NaN,NaN,NaN,618.9,2,NaN
467,0.536049,NaN,NaN,NaN,618.4,2,NaN
466,0.536049,NaN,NaN,NaN,617.8,2,NaN
465,0.536049,NaN,NaN,NaN,617.3,2,NaN
464,0.536049,NaN,NaN,NaN,616.7,2,NaN
463,0.536049,NaN,NaN,NaN,616.3,2,NaN
462,0.536049,NaN,NaN,NaN,615.7,2,NaN
461,-0.05527,NaN,NaN,NaN,615.2,2,NaN
460,-0.05527,NaN,NaN,NaN,614.7,2,NaN
459,-0.05527,NaN,NaN,NaN,614.1,2,NaN
458,-0.05527,NaN,NaN,NaN,613.7,2,NaN
457,-0.05527,NaN,NaN,NaN,613.1,2,NaN
456,-0.05527,NaN,NaN,NaN,612.6,2,NaN
455,-0.05527,NaN,NaN,NaN,612.1,2,NaN
454,-0.05527,NaN,NaN,NaN,611.6,2,NaN
453,-0.05527,NaN,NaN,NaN,611.1,2,NaN
452,0.536049,NaN,NaN,NaN,610.7,2,NaN
451,0.536049,NaN,NaN,NaN,610,2,NaN
450,0.536049,NaN,NaN,NaN,609.6,2,NaN
449,0.536049,NaN,NaN,NaN,609,2,
448,0.536049,NaN,NaN,NaN,608.5,2,
447,0.536049,NaN,NaN,NaN,607.9,2,
446,-0.05527,NaN,NaN,NaN,607.5,2,
445,-0.05527,NaN,NaN,NaN,606.8,2,
444,-0.05527,NaN,NaN,NaN,606.3,2,
443,-0.05527,NaN,NaN,NaN,605.8,2,
442,-0.05527,NaN,NaN,NaN,605.2,2,
441,-0.05527,NaN,NaN,NaN,604.7,2,
440,-0.05527,NaN,NaN,NaN,604.2,2,
439,-0.05527,NaN,NaN,NaN,603.7,2,
438,-0.05527,NaN,NaN,NaN,603.1,2,
437,-0.64659,NaN,NaN,NaN,602.5,1,
436,-0.64659,NaN,NaN,NaN,602.1,1,
435,-0.64659,NaN,NaN,NaN,601.5,1,
434,-0.64659,NaN,NaN,NaN,600.8,1,
433,-0.64659,NaN,NaN,NaN,600.3,1,
432,-0.64659,NaN,NaN,NaN,599.8,1,
431,-0.64659,NaN,NaN,NaN,599.1,1,
430,-0.64659,NaN,NaN,NaN,598.5,1,
429,-0.64659,NaN,NaN,NaN,597.9,1,
428,-0.64659,NaN,NaN,NaN,597.3,1,
427,-0.05527,NaN,NaN,NaN,596.6,1,
426,-0.05527,NaN,NaN,NaN,596.1,1,
425,-0.05527,NaN,NaN,NaN,595.5,1,
424,-0.05527,NaN,NaN,NaN,594.9,1,
423,-0.05527,NaN,NaN,NaN,594.3,1,
422,-0.05527,NaN,NaN,NaN,593.7,1,
421,-0.05527,NaN,NaN,NaN,593.1,1,
420,-0.05527,NaN,NaN,NaN,592.6,1,
419,-0.05527,NaN,NaN,NaN,591.9,1,
418,-0.05527,NaN,NaN,NaN,591,1,
417,-0.05527,NaN,NaN,NaN,590.3,1,
416,-0.05527,NaN,NaN,NaN,589.6,1,
415,-0.05527,NaN,NaN,NaN,588.9,1,
414,0.536049,NaN,NaN,NaN,588.2,1,
413,0.536049,NaN,NaN,NaN,587.4,1,
412,-0.05527,NaN,NaN,NaN,586.7,1,
411,-0.05527,NaN,NaN,NaN,586,1,
410,-0.05527,NaN,NaN,NaN,585.4,1,
409,-0.05527,NaN,NaN,NaN,584.7,1,
408,-0.05527,NaN,NaN,NaN,583.9,2,
407,-0.05527,NaN,NaN,NaN,583.2,2,
406,-0.05527,NaN,NaN,NaN,582.4,2,
405,0.536049,NaN,NaN,NaN,581.8,2,
404,NaN,NaN,NaN,NaN,581.1,2,
403,NaN,NaN,NaN,NaN,580.4,2,
402,NaN,NaN,NaN,NaN,579.8,2,
401,NaN,NaN,NaN,NaN,579.1,2,
400,NaN,NaN,NaN,NaN,578.4,2,
399,NaN,NaN,NaN,NaN,577.7,2,
398,NaN,NaN,NaN,NaN,577,2,
397,NaN,NaN,NaN,NaN,576.4,2,
396,NaN,NaN,NaN,NaN,575.7,2,
395,NaN,NaN,NaN,NaN,574.9,2,
394,NaN,NaN,NaN,NaN,574.3,2,
393,NaN,NaN,NaN,NaN,573.6,2,
392,NaN,NaN,NaN,NaN,572.9,2,
391,NaN,NaN,NaN,NaN,572.1,2,
390,NaN,NaN,NaN,NaN,571.5,2,
389,NaN,NaN,NaN,NaN,570.7,3,
388,NaN,NaN,NaN,NaN,570.1,3,
387,NaN,NaN,NaN,NaN,569.4,3,
386,NaN,NaN,NaN,NaN,568.6,3,
385,NaN,NaN,NaN,NaN,567.9,3,
384,NaN,NaN,NaN,NaN,567.2,3,
383,NaN,NaN,NaN,NaN,566.5,3,
382,NaN,NaN,NaN,NaN,565.8,3,
381,NaN,NaN,NaN,NaN,565.2,3,
380,NaN,NaN,NaN,NaN,564.5,3,
379,NaN,NaN,NaN,NaN,563.8,3,
378,NaN,NaN,NaN,NaN,563.1,3,
377,NaN,NaN,NaN,NaN,562.5,3,
376,NaN,NaN,NaN,NaN,561.8,3,
375,NaN,NaN,NaN,NaN,561.2,3,
374,NaN,NaN,NaN,NaN,560.5,3,
373,NaN,NaN,NaN,NaN,559.8,3,
372,NaN,NaN,NaN,NaN,559,3,
371,NaN,NaN,NaN,NaN,558.3,3,
370,NaN,NaN,NaN,NaN,557.7,3,
369,NaN,NaN,NaN,NaN,556.9,3,
368,NaN,NaN,NaN,NaN,556.3,3,
367,NaN,NaN,NaN,NaN,555.6,3,
366,NaN,NaN,NaN,NaN,554.9,3,
365,NaN,NaN,NaN,NaN,554.2,3,
364,NaN,NaN,NaN,NaN,553.5,3,
363,NaN,NaN,NaN,NaN,552.8,3,
362,NaN,NaN,NaN,NaN,552.1,2,
361,NaN,NaN,NaN,NaN,551.5,2,
360,NaN,NaN,NaN,NaN,550.8,2,
359,NaN,NaN,NaN,NaN,550.1,2,
358,NaN,NaN,NaN,NaN,549.4,2,
357,NaN,NaN,NaN,NaN,548.8,2,
356,NaN,NaN,NaN,NaN,548.1,3,
355,NaN,NaN,NaN,NaN,547.4,3,
,,NaN,NaN,NaN,546.7,3,
,,NaN,NaN,NaN,546,3,
,,NaN,NaN,NaN,545.2,3,
,,NaN,NaN,NaN,544.6,3,
,,NaN,NaN,NaN,544,4,
,,NaN,NaN,NaN,543.3,4,
,,NaN,NaN,NaN,542.5,4,
,,NaN,NaN,NaN,541.9,4,
,,NaN,NaN,NaN,541.3,4,
,,NaN,NaN,NaN,540.5,4,
,,NaN,NaN,NaN,539.8,4,
,,NaN,NaN,NaN,539,4,
,,NaN,NaN,NaN,538.3,4,
,,NaN,NaN,NaN,537.6,4,
,,NaN,NaN,NaN,536.7,4,
,,NaN,NaN,NaN,535.6,4,
,,NaN,NaN,NaN,534.6,4,
,,NaN,NaN,NaN,533.5,4,
,,NaN,NaN,NaN,532.6,4,
,,NaN,NaN,NaN,531.6,4,
,,NaN,NaN,NaN,530.8,4,
,,NaN,NaN,NaN,529.8,4,
,,NaN,NaN,NaN,528.8,4,
,,NaN,NaN,NaN,527.9,4,
,,NaN,NaN,NaN,527,4,
,,NaN,NaN,NaN,526.3,NaN,
,,NaN,NaN,NaN,525.4,NaN,
,,NaN,NaN,NaN,524.5,NaN,
,,NaN,NaN,NaN,523.6,NaN,
,,NaN,NaN,NaN,522.7,NaN,
,,NaN,NaN,NaN,521.9,NaN,
,,NaN,NaN,NaN,521.1,NaN,
,,NaN,NaN,NaN,520.2,NaN,
,,NaN,NaN,NaN,519.3,NaN,
,,NaN,NaN,NaN,518.4,NaN,
,,NaN,NaN,NaN,517.4,NaN,
,,NaN,NaN,NaN,516.3,NaN,
,,NaN,NaN,NaN,515.3,NaN,
,,NaN,NaN,NaN,514.3,NaN,
,,NaN,NaN,NaN,513.3,NaN,
,,NaN,NaN,NaN,512.2,NaN,
,,NaN,NaN,NaN,511.2,NaN,
,,NaN,NaN,NaN,510.2,NaN,
,,NaN,NaN,NaN,509.2,NaN,
,,NaN,NaN,NaN,508.3,NaN,
,,NaN,NaN,NaN,507.2,NaN,
,,NaN,NaN,NaN,506.2,NaN,
,,NaN,NaN,NaN,505.1,NaN,
,,NaN,NaN,NaN,504.1,NaN,
,,NaN,NaN,NaN,503.1,NaN,
,,NaN,NaN,NaN,502.1,NaN,
,,NaN,NaN,NaN,501.3,NaN,
,,NaN,NaN,NaN,500.4,NaN,
,,NaN,NaN,NaN,499.4,NaN,
,,NaN,NaN,NaN,498.5,NaN,
,,NaN,NaN,NaN,497.4,NaN,
,,NaN,NaN,NaN,496.3,NaN,
,,NaN,NaN,NaN,495.3,NaN,
,,NaN,NaN,NaN,494.1,NaN,
,,NaN,NaN,NaN,493.1,NaN,
,,NaN,NaN,NaN,492,NaN,
,,NaN,NaN,NaN,491,NaN,
,,NaN,NaN,NaN,489.9,NaN,
,,NaN,NaN,NaN,488.9,NaN,
,,NaN,NaN,NaN,487.9,NaN,
,,NaN,NaN,NaN,486.8,NaN,
,,NaN,NaN,NaN,485.8,NaN,
,,NaN,NaN,NaN,484.8,NaN,
,,NaN,NaN,NaN,483.9,NaN,
,,NaN,NaN,NaN,482.9,NaN,
,,NaN,NaN,NaN,481.9,NaN,
,,NaN,NaN,NaN,480.9,NaN,
,,NaN,NaN,NaN,479.9,NaN,
,,NaN,NaN,NaN,478.8,NaN,
,,NaN,NaN,NaN,478,NaN,
,,NaN,NaN,NaN,476.9,NaN,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
,,NaN,NaN,NaN,,,
