"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77"
"1",1.33095,11.141795,15.979911,76.04041,85.551177,124.487708,129.414035,158.428464,198.553655,215.799186,235.447129,254.750268,263.092704,269.750955,320.00653,368.159725,404.81441,453.58854,463.34157,482.148034,505.0253812,512.6940065,546.7175015,573.9265965,612.2765565,624.908065,631.849504,637.569596,647.433234,661.500424,673.194244,735.533384,739.596884,743.43054,747.484969,760.975334,777.170275,818.562491,831.596536,837.7706835,845.0945175,861.0459535,862.5854575,904.3547425,912.5822055,928.7527575,957.7763425,966.5484345,972.1014245,980.4159165,1040.2823565,1094.3939295,1097.5023695,1100.6249255,1124.6965225,1129.2071025,1167.6920225,1175.4469775,1183.3677725,1207.1389755,1226.7623635,1233.6977595,1257.8353875,1259.8310645,1270.3143435,1308.1221795,1325.3632295,1368.5528215,1377.8491685,1432.3425435,1453.0925995,1486.7459935,1504.7825155,1519.4436425,1526.5674685,1529.5237485,1532.8619565
"2",1.124835,20.247052,23.06241,78.120564,81.884029,126.304482,130.472721,162.0556406,187.202757,216.212044,236.947307,264.788307,278.806481,297.091647,349.100566,406.449892,446.1869065,485.7210565,498.5911965,514.0424765,522.3554685,524.1578425,548.451172,578.750782,624.824645,650.463316,653.4712369,654.9676675,664.2037925,667.5868435,679.2900044,729.415365,731.886585,735.636105,740.82292,759.860185,780.76526,808.25591,820.832149,830.525777,852.399652,874.565642,878.7145705,917.561116,925.049723,937.984781,961.583778,964.47137,976.863007,990.884968,1051.362882,1113.031678,1115.63825,1119.337812,1138.880378,1144.111785,1181.254403,1186.476409,1188.009169,1217.953718,1238.7836256,1243.586196,1264.709522,1264.85755495,1282.80341695,1320.90496495,1331.00367395,1359.54244695,1365.92446495,1408.69246995,1425.44128095,1467.97396595,1481.98353695,1500.01550095,1506.54400295,1509.24422395,1513.20353195
"3",1.51554,21.890955,23.8083346,100.497173,105.979335,126.060195,130.086036,163.9930696,183.847596,196.078831,225.029291,236.411656,251.37698,265.894906,312.251204,362.714876,401.0870905,460.1840155,475.6085155,485.1830485,505.9588475,508.2489795,518.5639915,564.0466655,609.2575995,632.8282255,637.1862205,639.6766005,646.1997185,649.3551305,653.4984964,745.064658,748.060491,749.696538,754.777781,764.732562,786.500267,825.026684,834.241062,846.964593,868.716237,885.836207,902.339725,922.1212058,929.8389405,936.2025315,960.379972,971.241748,974.974797,982.4331399,1041.7153685,1123.7457585,1124.1475785,1127.8529615,1143.881746,1147.394568,1193.344706,1202.611606,1205.808336,1225.633686,1235.104948,1241.927892,1267.7351,1269.905285,1281.924616,1324.764756,1342.283986,1383.0079485,1390.8996585,1427.3793385,1452.596254,1484.267205,1495.72737,1505.565878,1512.578299,1516.166871,1524.620551
"4",1.64115,12.6708975,16.4255295,113.15613,120.097121,150.418533,154.2537435,194.5852445,206.9566355,216.1596655,240.7767955,261.4640655,270.8859175,276.9524705,336.7167535,397.2418505,439.6687955,466.3025945,484.1292305,497.2470555,509.5192565,512.7502745,535.3937215,570.4371535,600.2423455,638.2027645,641.0446405,644.0188745,650.1285325,653.3933045,657.9393145,737.3440795,739.2217645,741.4374875,744.7236265,761.0470545,787.8334315,815.505494,828.596574,835.10777315,848.66499715,861.19717715,881.82386715,921.01763715,932.10333865,936.91041565,963.74584465,970.41582465,979.38675965,989.77510765,1051.05936765,1117.56574465,1118.63986865,1127.52663965,1146.09215165,1147.19691515,1175.28208195,1177.88871565,1186.82344565,1208.50197365,1218.27380685,1223.25007915,1256.48676315,1260.64296815,1272.35525015,1307.85229615,1319.90483815,1380.25731315,1389.51639315,1433.56581815,1479.01624315,1543.42351315,1566.12552015,1576.85519065,1586.87792265,1593.64762465,1599.85723265
"5",-0.749299999999994,10.339377,17.505225,106.603476,111.236905,138.705121,142.001422,190.489488,201.3693865,208.631542,239.831328,259.297886,267.51673,280.599993,335.056595,389.600173,422.661953,468.724881,482.170213,499.747898,521.445535,524.231144,546.94909,572.580383,611.125143,640.36553,642.992537,645.377553,655.738652,665.514048,670.680987,734.996027,735.92246,737.197847,740.275287,753.293421,775.066968,797.612127,819.310091,831.561711,844.183116,865.4688375,893.1703425,923.909502,928.005842,934.216787,959.15356945,961.20656145,967.95398945,979.27483545,1039.26310845,1105.48801545,1107.97433145,1112.14497045,1132.71049545,1140.19812545,1164.96270345,1170.72574545,1177.16649045,1198.75153845,1210.84403795,1221.78236995,1253.34235295,1255.51804795,1263.88880595,1302.17536095,1319.24639395,1381.73422745,1388.92103945,1422.79017945,1441.83658845,1512.18667845,1520.41431945,1533.29362545,1536.44451045,1541.84889045,1549.44213045
"6",0.643610000000002,16.090108,24.12805,112.5171654,116.0590385,155.4260425,157.6818925,198.7184865,213.8569675,225.6429295,244.8470975,260.2714625,277.4883425,286.8806975,340.6418945,376.6753825,407.8904375,466.2743195,489.1138975,503.1599575,526.2552675,538.5838775,558.370698,582.837334,611.593305,649.227467,651.756998,653.0222538,662.0136805,665.7959385,667.6972675,734.0260975,736.8356245,738.8596615,748.8144585,769.0962435,788.6091925,819.7334785,836.1060235,856.2529485,867.7823385,885.125374,890.042884,920.386281,928.633441,941.489091,971.166266,975.61269,978.578411,1007.935809,1057.9775645,1107.50507565,1110.43260365,1112.78091565,1139.73231565,1147.50552565,1171.57866565,1180.42280565,1187.61812065,1211.61011465,1228.13327965,1243.60160565,1265.82695705,1269.27385615,1279.23289315,1310.23650515,1320.94830815,1379.38295465,1385.44424865,1410.47421565,1434.55854565,1482.34746065,1501.40752265,1508.43685165,1511.31679065,1517.64989465,1520.90610865
"7",4.37166999999999,20.466759,24.838727,99.26168,105.444135,138.075721,142.178299,182.389065,206.062255,224.552174,247.559264,261.67917,280.216326,296.735575,333.2618595,377.052164,423.772864,457.992644,482.410094,496.114894,515.894908,524.563814,558.630075,588.280144,630.117198,650.607955,656.164006,659.73765,667.39251,676.699824,692.933494,744.148005,746.122608,746.7811796896,752.709522362,757.936392362,776.025077362,796.115921362,806.671844362,828.199162362,847.220732362,875.314506362,883.865781362,913.276383362,923.817929362,926.800856362,951.808688362,962.690924362,966.150751362,975.772685362,1039.343270362,1116.064355362,1116.991603362,1119.951178362,1142.513996362,1147.294392362,1178.272366362,1185.734152362,1192.166392362,1222.939835362,1234.981171362,1242.623958362,1258.697199862,1259.369528862,1266.583551862,1314.582899862,1335.039014862,1381.984640362,1387.952609862,1429.890427862,1437.785597862,1474.089992862,1489.441730862,1503.181706862,1511.840702862,1518.415942862,1528.954820862
"8",-1.297154,18.18175,20.730648,85.5660725,92.6819765,124.8195475,127.3514125,159.6507315,186.4736915,195.6766663,211.5555455,220.5679205,235.4194865,247.1850455,295.4683305,352.9294405,418.2822905,446.7475365,465.1783705,497.4369855,521.7572555,532.5776955,560.2029865,587.8440255,630.9973985,643.2370285,646.3819195,648.7494295,652.2913635,656.3764605,671.6474705,733.4016135,736.3032675,743.5288855,750.5367055,760.1277015,781.6273405,807.1224875,813.7472125,836.8716505,852.6080805,879.65973,889.297615,922.867566,925.1817921,931.9141465,961.3877055,970.3511495,975.1107305,983.4003173,1038.7832025,1095.0955385,1099.3490985,1102.5153625,1120.1910155,1124.9787035,1164.6011595,1172.6095735,1177.4781525,1209.8140855,1218.1006125,1227.7559555,1251.1669425,1251.391815,1256.118378,1295.480916,1303.136129,1364.327304,1370.82890538,1401.4975859,1418.4977759,1482.3626069,1491.2637049,1510.6735209,1523.0030209,1530.1523709,1543.5449509
"9",2.924835,11.499893,17.783915,115.323362,128.477904,147.935845,152.27425,175.9583955,204.2174955,212.7623055,235.5805855,249.7681555,259.4023915,268.6711905,314.3245105,368.705741,412.073366,436.376299,455.972806,481.526949,497.981987,499.935012,538.820662,582.2377545,624.0628745,654.2384745,661.0871085,666.5566045,673.8367485,675.6781845,681.9331685,747.7360255,748.4432185,754.1468695,759.4164445,766.0083735,780.0776245,804.5256575,813.3189245,831.0720765,858.1275035,881.4478345,890.2613875,919.2568908,921.1186599,927.2672263,953.6982683,961.8739763,967.1343903,982.3058563,1037.9908093,1086.5010738,1087.9154898,1091.7154668,1112.6618028,1114.6442406,1136.7180531,1152.7102023,1158.6385523,1210.1215583,1238.6224443,1253.2054623,1274.6154348,1277.0800788,1284.6522658,1318.2939618,1329.3231218,1392.2937038,1395.2245748,1420.9391003,1435.0550443,1480.9200843,1485.6358123,1495.9617653,1510.5406453,1517.8362453,1528.0357893
"10",5.68395500000001,15.715971,23.535655,117.13146,132.4434312,141.039172,146.346979,160.330333,184.533458,203.919453,226.009108,251.18967,261.246178,268.598103,313.938963,362.567928,374.427943,425.226048,437.642023,466.107473,481.217918,483.283302,501.145298,537.180938,587.061083,626.935798,633.32563,637.286138,648.132448,651.158358,652.240755,742.410438,743.482323,747.842538,755.906144,760.27801,787.437243,805.542358,809.015007,820.321822,843.69454,866.892268,876.147883,914.1585,932.220584,939.623298,964.2055655,970.3560975,974.4194085,990.2930975,1043.4561681,1075.879768,1078.480524,1082.878982,1110.984534,1114.467254,1138.940061,1147.9685465,1162.9527415,1193.6578385,1214.3437575,1223.9930465,1246.4645875,1248.7102315,1251.9184565,1273.4671295,1291.0527315,1342.3545295,1350.7686795,1387.2720795,1391.3964095,1411.2962695,1420.1069865,1429.6591945,1434.6523865,1437.8013385,1449.2972385
"11",-0.930224999999998,13.720124,21.29095,120.772005,139.250169,146.285304,152.664354,160.3477225,185.7152825,208.7721715,230.7445085,268.1395135,282.1209685,296.8057885,340.5006735,377.471846,390.789916,436.8907815,461.1367415,489.9229215,506.0057395,508.2921565,525.2309065,552.2737265,595.2932065,632.1132115,635.4995785,638.9279385,647.1721835,655.4856835,661.1462385,722.425604,724.697537,731.274928,739.321306,746.24284,764.431945,784.330242,804.125979,827.870465,855.343165,880.240655,887.877934,923.518693,935.025711,942.702576,969.0871089,969.4222961,970.9499115,995.9899275,1046.0268075,1090.4597949,1090.9563749,1096.5147069,1115.6493974,1119.4067464,1150.2272834,1156.0777614,1159.1860964,1186.7794494,1197.0758384,1215.0692124,1250.4694144,1252.4730024,1260.3999954,1281.6319674,1294.6178674,1334.4687434,1345.3814974,1375.8874884,1390.0739768,1412.0934464,1420.8299054,1445.2988654,1458.7669654,1464.0685584,1467.8360784
"12",0.99500000000001,8.186982,15.44123,104.56474,126.60419,139.387303,143.940823,157.632242,180.756738,224.002761,242.373613,270.631047,279.460431,298.199808,359.948288,403.093828,415.668173,459.828221,477.459813,503.673199,519.340578,522.911862,557.442084,573.165725,616.015491,634.883448,639.867492,643.067968,649.607474,655.478678,662.763913,732.181894,734.453827,736.083794,745.478798,753.056751,783.598033,808.880283,825.292238,836.320108,856.759808,882.2966145,890.0221745,914.9473425,926.4686645,932.0984545,971.0893385,974.6172145,987.2289345,1000.3184795,1053.7565495,1087.360228,1088.418048,1093.247213,1121.038313,1128.719893,1151.7021983,1152.795411,1162.499651,1192.768238,1213.153231,1218.694035,1236.608416,1239.477836,1247.592708,1263.726272,1280.387961,1327.5741,1332.914672,1370.30563565,1373.10051165,1403.57077565,1409.77270215,1421.81898315,1426.77798215,1428.35871715,1430.26966915
"13",0.646549999999989,9.61890349999999,12.3066195,105.2406745,128.1226285,142.750138,148.823935,161.047682,184.269476,238.673765,251.675574,281.42055,287.6636565,297.6402855,352.483141,379.940007,396.839527,442.706662,461.746337,505.636987,525.661847,531.588247,561.237849,573.850127,592.930406,606.173398,614.435656,621.412796,633.895211,643.350141,657.104091,730.459481,739.669721,746.454769,759.564311,769.433659,783.634531,813.687337,821.119681,831.567882,841.9561,869.393545,881.06218,909.661155,915.94651,920.604312,945.620378,952.53789,966.82127,977.052382,1055.1677015,1100.1259625,1100.5675305,1106.8996405,1123.8791225,1127.6880705,1175.8696257,1182.1912965,1188.9123115,1227.8053615,1258.1257635,1274.1864485,1292.3912445,1298.2372495,1304.0958825,1343.7691695,1366.7295255,1397.0924855,1401.8213425,1423.556538,1429.854323,1461.1217848,1467.0747485,1479.4349615,1483.3954835,1485.6956132,1486.962566
"14",0.374205000000003,11.883976,14.1424976,97.958682,118.981112,148.228087,154.472881,166.034197,180.4401665,230.8552265,247.7563835,281.4330325,291.9398255,305.3374015,348.6157765,379.8599865,396.8425735,433.2539385,446.7249635,482.5479035,512.7896135,518.6298535,537.1842635,552.1159585,593.3621385,614.5771665,619.3830285,624.2147085,632.6043865,637.7530685,649.5270185,720.7518085,728.0093485,733.9657845,742.8862985,758.7558885,783.1005275,806.8411675,814.3617885,832.9405935,848.9507085,895.0105735,906.8518025,926.0266085,938.7658565,944.4401095,958.327986,964.14385,971.453091,989.865491,1053.991452,1089.194527,1090.914483,1101.1657346,1122.494018,1125.525843,1170.67978,1176.741934,1181.247144,1223.7106105,1241.0133745,1254.9856685,1273.8846995,1278.2505805,1285.4714505,1330.5501355,1349.4251705,1383.2188785,1386.9429825,1422.2299155,1433.8096455,1475.0090025,1484.9987855,1496.422892,1502.219717,1507.574275,1514.861947
