depth,coarse
0,1.421833819
1,0.966256511
2,4.196809805
3,3.315996179
4,3.16411486
5,4.948204767
6,2.809083547
7,2.367620795
8,3.850872535
9,3.750595711
10,2.548248978
11,1.564939971
12,1.85872939
13,3.445842229
14,2.831461566
15,1.956498933
16,3.011977911
17,2.205800645
18,2.661989672
19,2.995772441
20,3.778040142
21,3.603119653
22,4.21828446
23,1.636434924
24,2.846660478
25,3.477730323
26,4.046078866
27,4.153227205
28,2.985100159
29,2.721846685
30,1.947762304
31,1.228475272
32,4.204096299
33,6.178608515
34,3.11356541
35,5.32173252
36,4.887366008
37,6.591900837
38,6.020485662
39,6.340508806
40,6.004589291
41,4.663057974
42,6.337286937
43,6.80675694
44,14.95074064
45,13.43045921
46,13.4898104
47,10.97207611
48,14.95515415
49,12.41879894
50,4.209620484
51,3.251939098
52,7.519934012
53,3.723484796
54,4.71028808
55,6.18107899
56,5.376153014
57,2.676968453
58,3.232543039
59,1.847251223
60,5.291737841
61,5.668843074
62,8.043530021
63,8.959537572
64,6.009913259
65,5.027040703
66,3.705486792
67,4.030222222
68,6.182384477
69,9.321543674
70,8.952902049
71,13.22840621
72,21.67040066
73,16.00836618
74,24.02095234
75,5.622191689
76,3.56894956
77,2.899842685
78,2.99621603
79,2.939063809
80,4.731171867
81,4.423739821
82,2.402721667
83,2.58780037
84,1.588658866
85,3.170507827
86,6.32988922
87,7.084720681
88,5.787231935
89,7.485888229
90,7.637115408
91,6.902299825
92,7.987590966
93,5.9457274
94,4.304454492
95,7.123672836
96,7.529759962
97,5.279227557
98,7.338401899
99,6.433475546
100,6.46211443
101,5.695506442
102,6.301475738
103,4.670702259
104,4.494133818
105,2.856158592
106,1.884224292
107,1.252012162
108,4.51657561
109,6.460112377
110,6.229699883
111,8.424133534
112,5.735178149
113,7.045972872
114,5.926209138
115,7.413985734
116,4.485256079
117,5.832267723
118,4.971195196
119,1.704423449
120,5.868029541
121,3.868099296
122,4.238028074
123,4.074478624
124,4.090383975
125,4.367941712
126,5.9207681
127,3.232192063
128,6.236666603
