median_age,event_indx,freq100yr
2013.9,0,NaN
2012.5,0,NaN
2011.2,0,NaN
2009.8,0,NaN
2008.5,0,NaN
2007.1,0,NaN
2005.7,0,NaN
2004.4,0,NaN
2003,0,NaN
2001.6,0,NaN
2000.2,0,NaN
1998.9,0,NaN
1997.5,0,NaN
1996.1,0,NaN
1994.8,0,NaN
1993.4,0,NaN
1992.1,0,NaN
1990.7,0,NaN
1989.3,0,NaN
1988,0,NaN
1986.6,0,NaN
1985.4,0,NaN
1984.3,0,NaN
1983,0,NaN
1981.9,0,NaN
1980.7,0,NaN
1979.4,0,NaN
1978.2,0,NaN
1976.9,0,NaN
1975.7,0,NaN
1974.4,0,NaN
1973.2,0,NaN
1972,0,NaN
1970.7,0,NaN
1969.5,0,NaN
1968.3,0,NaN
1967,0,NaN
1965.8,0,NaN
1964.6,0,NaN
1963.4,0,2
1962.1,0,2
1961.2,0,2
1960.4,0,2
1959.6,0,2
1958.8,0,2
1958,0,2
1957.2,0,2
1956.5,0,2
1955.7,1,2
1955,0,2
1954.3,0,2
1953.5,0,2
1952.8,0,2
1952,0,2
1951.2,0,2
1950.4,0,2
1949.5,0,2
1948.7,0,2
1947.9,0,2
1947.1,0,2
1946.2,0,2
1945.3,0,2
1944.3,0,2
1943.3,0,2
1942.3,0,2
1941.2,0,2
1940.1,0,2
1939.1,0,2
1938,0,2
1936.9,0,2
1935.9,0,2
1934.9,0,2
1933.9,0,2
1932.8,0,2
1931.9,1,2
1930.8,0,2
1929.8,0,2
1928.8,0,2
1927.9,0,2
1927,0,2
1926,0,2
1924.8,0,2
1923.5,0,2
1922.3,0,2
1921.1,0,2
1919.8,0,2
1918.6,0,2
1917.3,0,2
1916,0,2
1914.7,0,2
1913.5,0,2
1912.3,0,2
1911.1,0,2
1910,0,2
1908.9,0,2
1907.7,0,2
1906.7,0,2
1905.7,0,2
1904.6,0,1
1903.5,0,1
1902.5,0,1
1901.4,0,1
1900.1,0,1
1899,0,1
1897.7,0,1
1896.4,0,1
1895.1,0,1
1893.8,0,1
1892.5,0,1
1891.2,0,1
1890,0,1
